StepN	DirN	GainBefore	GainNow
0	0	0.	1.190987
1	1	1.190987	1.771686
2	1	1.771686	2.179114
3	1	2.179114	2.360971
4	1	2.360971	2.545074
0	0	0.	1.488956
1	1	1.488956	1.825880
2	1	1.825880	2.061200
3	1	2.061200	2.243057
4	1	2.243057	2.427160
0	0	0.	2.179114
1	1	2.179114	2.172933
2	1	2.172933	2.172933
3	1	2.172933	2.137646
4	1	2.137646	2.191840
0	0	0.	2.360971
1	1	2.360971	2.142386
2	1	2.142386	2.133653
3	1	2.133653	2.104620
4	1	2.104620	1.986706
0	0	0.	2.545074
1	1	2.545074	2.090880
2	1	2.090880	2.024472
3	1	2.024472	2.055018
4	1	2.055018	1.852334
