StepN	DirN	GainBefore	GainNow
0	0	0.	1.912370
1	1	1.912370	2.682657
2	1	2.682657	3.397069
3	1	3.397069	4.072257
4	1	4.072257	3.587358
0	0	0.	2.950335
1	1	2.950335	3.625523
2	1	3.625523	3.781969
3	1	3.781969	3.369441
4	1	3.369441	2.884541
0	0	0.	3.397069
1	1	3.397069	3.427097
2	1	3.427097	3.414530
3	1	3.414530	3.218673
4	1	3.218673	2.783778
0	0	0.	4.072257
1	1	4.072257	3.579121
2	1	3.579121	3.469703
3	1	3.469703	3.311997
4	1	3.311997	3.083345
0	0	0.	3.417380
1	1	3.417380	3.541900
2	1	3.541900	3.311873
3	1	3.311873	3.187418
4	1	3.187418	3.136749
0	0	0.	3.350469
1	1	3.350469	3.241051
2	1	3.241051	3.092979
3	1	3.092979	3.123515
4	1	3.123515	2.690699
