StepN	DirN	GainBefore	GainNow
0	0	0.	4.054734
1	1	4.054734	6.196472
2	1	6.196472	6.116082
3	1	6.116082	5.523204
4	1	5.523204	4.906736
0	0	0.	6.196472
1	1	6.196472	5.603594
2	1	5.603594	4.987126
3	1	4.987126	5.259413
4	1	5.259413	5.179023
0	0	0.	6.116082
1	1	6.116082	5.058596
2	1	5.058596	5.138986
3	1	5.138986	4.931393
4	1	4.931393	5.137725
0	0	0.	5.523204
1	1	5.523204	4.851004
2	1	4.851004	5.057335
3	1	5.057335	4.627304
4	1	4.627304	4.707694
0	0	0.	4.624323
1	1	4.624323	4.704713
2	1	4.704713	4.671639
3	1	4.671639	4.809674
4	1	4.809674	4.412086
