Condition	Heat	Heat	Heat	Heat	Heat	Heat	Heat	Heat
State	Acclimation	Acclimation	Acclimation	Acclimation	De-Acclimation	De-Acclimation	De-Acclimation	De-Acclimation
ATCG00810.1	834998.62	1207366.639	694767.4115	259843.5823	335558.0283	470355.9916	496752.5909	346063.1122
AT1G03680.1	3577873.319	2819991.204	1974886.49	2889545.285	1715460.813	2228455.063	2029240.897	2512200.172
AT4G27090.1	3323880.35	4133168.875	1304134.535	2252976.921	2836990.023	1548951.152	4600060.17	2935177.816
AT3G63140.1	1944083.735	1866006.925	1078392.311	1397654.528	782009.2487	951320.0918	1255300.506	1263883.589
ATCG00160.1	5002288.85	3352223.631	2575582.479	2247082.406	1648548.562	1765885.128	2803562.017	2178867.899
AT4G26900.1	550610.8051	403455.6613	441009.5244	425282.3225	216024.7986	562953.7657	299679.0801	374818.938
AT3G12780.1	12445311.29	16004899.82	11144870.45	14874058.16	8932660.626	10090832.87	11899877.91	13928749.91
AT1G23190.1	748058.0269	856729.91	617996.6888	785062.0348	469854.6333	641458.2717	662786.6452	902124.4268
AT4G24330.1	1430678.549	1319964.386	795183.059	1510028.22	652143.7869	1307896.265	711677.0626	516824.3722
AT5G51820.1	1219429.741	1338979.798	908819.4873	1029102.056	596762.1015	951972.361	940433.1261	1126842.927
AT2G42220.1	1192760.75	1254207.346	861680.1047	1206290.04	732622.4859	989248.188	1053917.536	1342164.216
AT1G70890.1	2371231.024	2703834.269	2651286.691	6189024.283	4070855.013	4747132.52	5913703.177	7937474.982
AT3G10060.1	1031178.29	1078759.562	792771.3661	1188650.127	693021.4964	686653.5935	883418.6335	1124982.293
AT3G57150.1	599318.3684	725198.6502	478213.9295	499949.2034	327098.7056	345328.4944	452012.1598	467515.682
AT1G62380.1	974113.8132	1556462.116	1023273.265	1401666.925	890844.6038	992059.6464	952171.8182	769347.7364
AT1G77510.1	651242.1403	759409.9954	540184.6102	791102.6701	494145.9965	556532.2659	730029.1309	877613.921
AT3G52960.1	4905679.837	4197155.05	3656442.705	4122681.905	2139996.897	3359486.853	2722289.29	3508062.974
AT5G50920.1	1753470.993	2242471.852	1156503.879	1489931.738	834158.9864	994701.4598	1430969.883	1639123.838
AT3G46780.1	3152283.866	3271956.62	2358059.343	3385240.735	2551857.735	2541455.155	2386913.225	2863398.663
AT5G42650.1	1422430.77	1883538.794	1573236.088	2547205.062	1620311.175	1762975.461	2171983.174	2423421.252
AT4G02930.1	735841.5349	906639.3292	597511.1588	844700.6708	550426.6454	630905.7204	963709.7757	822587.5374
AT4G01310.1	5099354.319	4845873.714	3024828.18	3578210.207	1859653.558	2288352.251	2791761.318	3176461.909
AT5G09810.1	3886896.496	3673712.173	3331563.055	3918932.305	2707017.847	3379530.014	3548705.453	4707226.162
AT5G08380.1	330163.8248	327666.2108	277275.5237	318659.7399	233445.0342	277464.9355	432287.109	408462.6832
AT4G31840.1	903622.2204	847710.2901	537914.6512	513042.7955	246714.0628	356423.6573	288056.4033	372598.2713
AT1G19570.1	1478423.317	2340322.947	1926482.522	4093613.795	2349922.874	2722115.258	3123621.867	4013939.399
AT1G65930.1	3128135.611	4033584.268	2807870.47	2975020.446	2010517.642	2561695.335	2124467.8	3101676.251
AT2G01140.1	1391702.913	2707511.593	1794819.525	2122979.339	296551.8007	218578.0076	281656.1137	864374.3832
AT1G09310.1	2029911.894	2571655.226	1884362.899	3.86849E+12	2686511.905	1916132.424	2691643.962	1731937.713
AT3G15360.1	7019277.601	5966917.968	5222960.049	7616453.104	4365448.838	5794169.115	5622234.878	6744696.296
AT1G53520.1	662923.5407	687603.3259	603756.3976	669260.935	391913.5599	497624.2616	640167.7972	990754.4408
ATCG00280.1	13915114.83	15098095.3	9982620.963	13193712.74	6431592.722	7922548.892	9813756.616	13217362.35
AT1G05190.1	2756205.079	3190236.642	1935910.777	2143198.083	980945.5797	1550595.855	1378358.368	1733271.401
AT1G30380.1	8395728.748	4893304.546	4535318.896	7093342.24	3812031.235	3934187.171	4554894.255	6161543.933
AT1G08360.1	1576761.584	1329705.922	1243193.63	418314.6649	803493.7051	564783.6413	416506.5578	462063.771
AT3G63160.1	2352262.16	1273312.829	1203525.618	1069060.072	759193.3162	632734.6612	1368563.504	1001162.101
AT1G09780.1	1179011.944	1128929.715	668380.8811	552206.3109	400556.3015	536597.102	762153.2906	775981.0207
AT3G01120.1	380687.0537	440118.8614	268424.3269	346797.3883	240034.0736	331511.626	347977.7071	321040.9424
AT4G10320.1	17219631.79	31348323.71	528158.1818	8228109.361	3.39532E+11	604501.2036	329397.7213	475217.6297
AT1G58270.1	1786525.212	1866157.905	1247188.611	1328547.154	607335.0177	1130325.734	1078671.525	1480298.121
AT2G20450.1	3725361.021	1737310.347	1160355.863	1105684.059	962050.9314	1218571.452	1250275.242	1047409.839
AT3G06860.1	453912.9493	628309.228	437230.0952	626206.3437	421519.3976	526671.701	510356.9573	546113.0957
AT1G62020.1	272774.617	309773.464	190213.825	281225.8024	161125.8726	208734.656	348522.0232	321672.7701
ATCG00800.1	2565288.146	3725598.047	1625320.357	2533362.132	1618518.214	1227203.173	2374117.884	2838719.107
AT3G12290.1	1191948.357	1296577.872	1005329.166	1320013.658	690335.9165	1027986.557	974838.0561	1309687.322
AT1G02150.1	597856.5546	735101.7872	397356.611	518111.3284	309183.5515	303010.9975	472757.0937	384539.0733
AT3G02770.1	177260.027	362902.6819	148361.9619	532493.2321	83482.80827	1770233.284	383449.713	908956.1359
AT5G63310.1	5054228.714	4628697.273	3958815.818	3805128.003	2515743.603	3186125.537	3697257.718	3633557.7
AT2G42530.1	1872640.005	1757304.63	879066.5665	1127669.957	694915.8608	1138763.286	1590659.265	2126112.558
AT5G26570.1	794963.784	766275.2343	610565.5566	608543.2233	451057.5404	364616.5054	599640.1412	603750.18
AT5G15740.1	120940.0967	98741.69356	1.21E+98	119394.0332	253476.1632	56791.44088	144231.8879	97490.5688
AT2G22170.1	1631498.81	1417511.536	1022127.16	2607792.825	783248.5344	1645478.928	1027711.407	1851207.258
AT5G16130.1	4290528.182	4664489.169	2891441.204	2846360.751	1891064.601	2399532.717	3181510.757	2936174.155
AT2G25060.1	1322007.493	1223337.162	827958.6113	835087.8053	397787.9407	572912.3574	565768.6159	689485.8163
ATCG00500.1	1145574.171	1330160.156	758946.48	1212327.849	893312.3051	865310.0282	1128989.648	1068806.973
ATCG00540.1	6329220.763	8300787.421	4279759.059	5433470.959	3925305.899	3226289.344	5193084.804	5087112.57
ATCG00580.1	28641184.96	26594682.72	17197067.94	22656529.77	11572682.59	16316896.18	16110740.82	21396180.51
AT5G19370.1	450284.5734	1157679.985	329304.5848	555386.4188	359419.8469	365165.0213	433564.2643	298890.8149
AT2G20890.1	5599492.782	4351204.706	3352528.212	4554111.234	2123191.805	3047986.43	3339267.199	4865348.095
AT3G52380.1	3398184.596	3602272.611	1798760.778	1696798.519	958089.1402	1413177.146	1602259.078	1828451.371
AT5G61790.1	1398389.38	1598979.804	1213197.732	1700055.7	1062474.554	1315583.692	1291576.268	1749400.204
AT5G15920.1	2269227.647	3243534.719	1932325.388	2441699.801	1412308.839	1895310.095	1674069.469	2161575.275
AT2G33150.1	822608.9844	1332931.6	1043831.894	1585795.164	805340.8476	1221014.261	1025130.276	968913.0412
AT4G29060.1	1853564.174	1221819.325	1301298.2	1137144.469	684948.1789	925808.9688	911512.0935	930217.9328
AT1G29900.1	921916.3168	1005016.97	638907.7407	887685.371	501462.8132	606627.7779	626288.7708	626376.0507
AT5G18660.1	1064970.528	1145678.949	709263.3389	605287.2179	388599.6592	751922.0009	504123.1017	1.11E+113
