Condition	Heat	Heat	Heat	Heat	Heat	Heat	Heat	Heat
State	Acclimation	Acclimation	Acclimation	Acclimation	De-Acclimation	De-Acclimation	De-Acclimation	De-Acclimation
"AT4G25450.3;AT4G25450.1"	261683.9499	384624.1845	220038.4651	348477.4058	245925.1651	210060.5106	175418.0907	326662.2481
"AT2G04039.1;AT2G04039.2"	818398.581	614669.5798	619970.1638	560548.6286	470449.4269	468016.8511	563308.7283	627098.5634
"AT4G08390.1;AT4G08390.5;AT4G08390.2;AT4G08390.3"	342215.0642	893856.1607	412858.6431	681238.7676	500089.5987	518754.634	793816.3526	690794.7037
"AT3G61440.2;AT3G61440.4;AT3G61440.1"	1686727.523	840135.3857	1727613.729	1119086.91	1927067.103	949486.4151	2034647.169	33999169259
"AT3G16470.2;AT3G16470.1;AT3G16470.4"	588492.4599	775170.9377	924087.092	2483885.971	1476268.282	1546058.02	1739921.83	2819549.96
"AT3G16470.1;AT3G16470.3"	417868.8885	542561.547	612452.2247	1505523.537	877195.1171	624633.0791	1089171.938	1679856.411
"AT1G52220.4;AT1G52220.1"	663149.3274	501281.2907	482842.4975	482851.008	407276.9017	464875.6062	407569.4691	342980.4416
"AT2G27710.1;AT2G27710.2;AT2G27710.3"	527684.9389	594138.7164	293843.8693	513548.0625	349748.0483	422861.1029	391705.5729	574181.3778
"AT1G66200.1;AT1G66200.3"	289228.6321	312030.0868	258867.2112	200464.6534	156328.129	213108.774	214203.5991	183560.6886
"AT2G05840.2;AT2G05840.1"	208858.4296	229641.596	101380.2892	128462.9052	133151.8539	58410.85575	184213.2105	86851.00902
"AT4G15510.4;AT4G15510.5;AT4G15510.1;AT4G15510.3"	2032593.799	1816768.364	1356086.054	1240782.884	194201.4488	1774064.15	229903.3187	1253473.337
"AT3G17240.3;AT3G17240.1"	226680.6266	297371.0538	257551.7711	337437.6144	208571.8667	213698.7163	264977.2997	302153.4677
"AT1G20620.1;AT1G20620.6;AT1G20620.5;AT1G20620.2"	9607132.525	9345305.016	9950956.594	15302418.84	10132378.57	13887910.08	9869134.346	13150212.08
"AT4G23600.2;AT4G23600.1"	3662874.705	722655.2339	403900.4558	1229989.571	737043.0133	672497.0673	1109689.583	1241939.903
"AT1G70730.1;AT1G70730.3"	864527.582	1129168.067	757451.6209	939232.6222	556732.168	790284.0683	842198.6327	915525.6457
"AT5G36880.1;AT5G36880.5;AT5G36880.2;AT5G36880.3;AT5G36880.6"	234755.185	319601.9965	164757.7778	1209813.825	88392.15777	150559.3954	138601.175	220614.0362
"AT1G66970.2;AT1G66970.1"	252282.6457	203266.0354	231988.0383	297294.2522	78042.89157	199906.9594	180977.503	68344.13379
"AT1G01100.4;AT1G01100.1;AT1G01100.2"	2437076.335	2863432.863	1624052.846	2168094.935	1157031.807	1486385.347	1238530.595	2148205.001
"AT1G20620.1;AT1G20620.5;AT1G20620.2"	35074485.92	1080751.259	672805.7247	616131.8942	496982.1979	1060242.218	889322.7991	430140.7534
"AT3G13920.1;AT3G13920.4;AT3G13920.5;AT3G13920.2"	401234.4713	385018.1012	246851.1424	262038.8909	196780.1012	182565.0413	159473.5864	117992.7709
"AT3G23400.4;AT3G23400.1"	699103.2415	833037.4884	749613.6177	1193271.586	875732.7916	498913.7077	1169548.494	1135451.631
"AT5G09660.1;AT5G09660.4;AT5G09660.5;AT5G09660.3;AT5G09660.2"	4449559.889	5498548.894	4020702.986	5109849.383	3326887.714	3748456.009	3827417.842	3495931.364
"AT2G39730.3;AT2G39730.1;AT2G39730.2"	12308243.02	14547585.38	11785587.81	8486475.536	9578175.684	8432680.105	8873742.227	5381009.109
"AT3G08940.2;AT3G08940.1"	21576633.4	19139512.03	17114851.83	19526863.84	12442824.67	17066177	16236817.95	19838444.87
"AT4G14030.1;AT4G14030.2"	640585.8483	786980.9315	618275.0216	699141.7116	398132.9916	519649.6274	446866.1648	625141.248
"AT4G38970.2;AT4G38970.1"	13787693.19	10911254.14	6340878.226	9387467.608	4747653.691	5773400.005	6244867.623	9119386.831
"AT4G35450.5;AT4G35450.2;AT4G35450.3;AT4G35450.4;AT4G35450.1"	899362.9369	750832.1175	624950.383	749368.7213	576132.5554	601636.8993	667109.687	740522.5109
"AT1G70580.1;AT1G70580.3;AT1G70580.2;AT1G70580.4"	517107.8603	722916.7002	235585.2958	128944.4464	148242.6331	195744.8723	688664.4149	272046.4414
"AT3G60750.2;AT3G60750.1"	8957006.383	9662012.204	6428467.897	8246137.717	5671915.447	6539212.204	6792164.283	8082867.448
"AT1G07890.5;AT1G07890.3;AT1G07890.1;AT1G07890.7;AT1G07890.4;AT1G07890.6;AT1G07890.8;AT1G07890.2"	4607983.584	6157444.835	4355671.088	7756964.439	5106562.034	5728947.396	6634672.303	6513422.278
"AT2G40100.2;AT2G40100.1"	395823.5965	220334.2276	301764.5368	265982.718	133740.9963	181201.6576	261441.6851	724989.3164
"AT1G48030.2;AT1G48030.5;AT1G48030.3;AT1G48030.1;AT1G48030.4"	1291339.714	1004340.252	1034448.805	1023259.485	665730.0851	831037.0411	958463.1466	933016.5168
"AT4G09010.3;AT4G09010.2;AT4G09010.1"	3318330.587	3629614.422	2579586.004	3617343.168	2011477.672	2780613.797	2558908.719	3007287.55
"AT2G21330.2;AT2G21330.3;AT2G21330.1"	6005739.507	4683324.575	3928726.915	5021984.484	2429123.676	3985960.13	4436194.963	3661372.984
"AT5G47700.1;AT5G47700.2"	3418345.389	4319877.284	2541646.257	2668410.659	1956989.867	2178169.844	2782915.801	2853287.18
"AT3G09820.1;AT3G09820.2"	1668684.723	1617768.884	1305788.624	1341743.878	1023479.599	1251290.159	1064806.922	1310941.929
"AT4G29060.1;AT4G29060.2"	2289927.799	2044024.548	1518884.379	1116656.076	894730.2034	1166548.988	1426920.426	1444758.251
"AT2G36530.1;AT2G36530.2"	3488580.806	3343112.678	2260221.046	2328715.931	2195252.678	1990475.997	2696716.362	2790247.468
"AT5G04140.1;AT5G04140.2"	3369386.589	3096746.686	2742263.708	3138949.502	1922542.307	2366013.126	2324716.652	2681261.978
"AT3G61870.1;AT3G61870.2"	487357.4873	392546.6766	358340.4325	466024.2389	283041.005	382064.2228	268848.2937	399932.6518
"AT2G24200.3;AT2G24200.2;AT2G24200.1"	719339.0982	1000224.048	729781.6516	1033027.531	762502.4079	928576.2457	912663.918	1136750.163
"AT4G33010.2;AT4G33010.1"	3817272.12	2987637.664	3510713.263	3529480.468	1852442.494	2769538.093	2590830.557	2260845.464
"AT5G28500.1;AT5G28500.2"	1321640.84	1481528.146	715821.5925	636415.5159	396725.536	21794920592	811908.7928	779959.6422
"AT5G17920.1;AT5G17920.2"	5592169.698	5439068.376	4092093.644	3432626.026	2916907.124	3648324.448	3692251.391	3556903.044
"AT1G72370.2;AT1G72370.1"	6129010.602	6252503.348	3895454.176	4331713.347	2191875.842	3102976.058	2988231.925	3922995.418
"AT3G58610.2;AT3G58610.1;AT3G58610.3"	2917062.152	3174659.467	1896269.639	1787832.002	1558610.792	1741427.459	2159097.379	1766553.566
"AT3G62030.3;AT3G62030.1;AT3G62030.2"	16410322.38	12560018.19	14168410.87	11237466.59	8118833.78	13028760.01	10306933.49	10641644.84
"AT1G66970.2;AT1G66970.1;AT1G66970.3"	1132729.488	890478.8375	821235.0125	645042.0495	538863.3238	793188.2773	876270.4527	1212642.987
"AT1G56070.3;AT1G56070.2;AT1G56070.1"	6446721.839	6741096.059	3801558.845	5344252.166	2677724.268	4014874.631	4055030.954	4883265.147
"AT4G27440.2;AT4G27440.1"	1945948.37	3.16E+18	789705.5715	694911.2878	604034.3729	595727.0055	919775.3621	792842.2254
"AT1G76180.2;AT1G76180.1"	2087302.476	1562052262	1605137.728	1920233.141	80849481.54	1614661.124	198051604.6	1.85952E+12
"AT5G35630.1;AT5G35630.2;AT5G35630.3"	10059717.86	8687809.449	5424247.391	6603150.338	7839781.093	7072037.631	6921961.831	7161557.927
"AT4G13940.3;AT4G13940.1;AT4G13940.4;AT4G13940.2"	1110555.258	2192272.664	569853.8808	804611.8688	34801052011	857190.3159	686763.2171	745897.7918
"AT3G14210.2;AT3G14210.1"	2719504.228	2562150.43	2987511.083	4783878.016	2531999.646	3493868.873	4275503.384	4945116.748
"AT1G21750.1;AT1G21750.2"	998013.5095	1258671.759	716025.4162	1307181.356	636837.9444	699461.6976	973092.5723	1295050.764
"AT2G22990.3;AT2G22990.2;AT2G22990.1;AT2G22990.6;AT2G22990.5;AT2G22990.4"	717698.4326	775189.4369	565601.7284	619812.0099	463469.5299	555742.0819	579872.2468	553349.5917
"AT4G03280.2;AT4G03280.1"	15970480.24	15308962.11	10364398.7	9848793.44	7062011.927	9647202.942	6581130.929	9733985.06
"AT3G03780.1;AT3G03780.3;AT3G03780.2"	1009816.433	1451124.013	722029.8161	1099418.768	723118.6646	737053.2384	822956.6131	1203492.045
"AT1G33590.2;AT1G33590.3;AT1G33590.1"	1116362.967	916703.7085	976543.4032	1431424.465	857603.9009	938643.6067	1203474.722	1240144.367
"AT1G06680.1;AT1G06680.2"	12496900.34	18405872.69	9264258.985	14863792.82	12762096.97	11240972.64	12654420	15948839.04
"AT1G11910.1;AT1G11910.2"	659291.3204	678355.0478	533833.4744	678199.9007	549645.5574	605919.4783	760325.8102	711152.4813
"AT5G38430.2;AT5G38430.1"	11019655.51	15324554.26	8276179.793	11746547.5	7811937.546	7841509.239	9485838.776	10073990.58
"AT3G45140.1;AT3G45140.2"	2446840.872	2689986.844	2511104.661	3492553.805	2434571.178	3127277.502	4068948.154	5349313.586
"AT1G67090.2;AT1G67090.1"	30671123.52	27548414.08	30881198.61	15234906.78	22786333.68	24596080.2	25717063.85	23793127.39
"AT4G14880.1;AT4G14880.2;AT4G14880.4;AT4G14880.3;AT4G14880.5"	3129420.887	3435989.605	2623357.84	3347367.429	2007275.33	2504021.633	2789895.097	3131964.941
"AT5G14740.5;AT5G14740.9;AT5G14740.3;AT5G14740.8;AT5G14740.4;AT5G14740.7;AT5G14740.2;AT5G14740.6;AT5G14740.1"	16710641.9	12656691.05	9517131.264	13646174.28	6396229.901	10553098	9214943.717	10395354.34
"AT3G01500.2;AT3G01500.1;AT3G01500.3;AT3G01500.4"	43549384.14	36416387.51	29387846.04	35435043.64	20690773.73	28365473.67	28667145.61	29212444.07
"AT4G08390.1;AT4G08390.5;AT4G08390.4;AT4G08390.2;AT4G08390.3"	1182269.594	1120810.075	907771.9887	968661.826	634567.3352	725350.4587	1015465.192	1002762.941
"AT1G20620.4;AT1G20620.1;AT1G20620.7;AT1G20620.6;AT1G20620.5;AT1G20620.2"	4040716.833	5178172.284	4255841.055	8566823.647	5680684.309	6713037.325	6994980.272	7933864.186
"AT1G11860.2;AT1G11860.1;AT1G11860.3"	4839221.87	4875028.413	3916712.722	5284165.835	3118413.45	4115368.281	4159960.7	4529478.481
"AT4G31700.1;AT4G31700.2"	1567524.303	953557.6418	690727.8879	667768.274	415283.5469	1991421.645	348046.7961	673298.1544
"AT5G63570.2;AT5G63570.1"	1027258.653	1459816.543	1082174.07	1113959.2	428554.6977	750529.776	526704.0158	693231.3917
"AT3G51800.2;AT3G51800.1;AT3G51800.3"	1870821.948	1458491.55	9.39E+32	1459412.63	699623.1258	1293340.162	1258075.046	1475101.298
"AT4G20360.1;AT4G20360.2"	6491545.703	5716742.105	4831432.114	4221130.255	3602056.88	4664760.594	3932860.556	4667995.059
"AT4G21210.1;AT4G21210.2"	640493.6939	739988.4006	298728.1046	604739.1623	315432.1643	283862.9128	617940.5362	665135.8852
"AT2G35040.2;AT2G35040.1"	692131.7154	746493.6995	679899.4992	783914.0203	488621.6456	535045.4608	646578.6897	701154.8336
"AT1G66200.1;AT1G66200.3;AT1G66200.2"	892030.7259	391518.0951	381398.0377	299040.1656	477055.8301	6.53E+27	504812.1404	502609.8348
"AT1G76010.1;AT1G76010.2"	1120019.775	935859.2033	800727.3118	972466.9243	609629.5031	704544.6295	818887.7397	641097.6166
"AT2G42600.2;AT2G42600.1;AT2G42600.3"	2024217.709	2506056.126	1543283.473	1834303.545	980840.5276	1290203.484	1361066.727	1464352.887
"AT5G51110.2;AT5G51110.1"	1163933.645	981418.6271	670648.4341	605452.6619	455076.7965	417875.2697	748564.9004	668097.27
"AT5G13630.2;AT5G13630.1"	678804.0397	692835.8989	310272.6224	325529.3016	197951.8568	246920.1902	442367.8133	421005.273
"AT1G64770.2;AT1G64770.3;AT1G64770.1"	595755.2634	689873.1594	1.17081E+11	700231.577	86413850730	482513.691	439498.7607	533378.1404
"AT5G03300.2;AT5G03300.1;AT5G03300.3"	710345.1767	1369364.613	516446.6057	876378.2726	642468.5303	677352.1832	1013491.664	1229288.145
"AT3G02560.1;AT3G02560.3;AT3G02560.2"	2524237.939	2408311.942	1070102.755	817005.7629	536394.8659	739375.2797	791851	936055.3793
"AT3G16420.1;AT3G16420.2;AT3G16420.3"	5900901.882	4220579.946	4131151.205	5903593.035	4838048.204	5724954.705	4073642.862	4800608.126
"AT2G21170.3;AT2G21170.1;AT2G21170.2"	5266131.939	4464968.553	3564937.923	3543265.763	2269948.628	3227060.22	2172508.494	3524970.929
"AT5G01650.3;AT5G01650.2;AT5G01650.4;AT5G01650.1"	1332175.458	954054.7185	1134869.214	1103287.298	735417.5817	930044.9911	830337.8355	836085.9106
"AT1G55490.2;AT1G55490.4;AT1G55490.3;AT1G55490.1;AT1G55490.5"	2383698.967	1748275.276	1332906.722	1786879.807	761798.8732	992680.3775	1013707.742	1204922.658
"AT4G31300.1;AT4G31300.2;AT4G31300.3"	1205684.576	910342.3428	721035.4859	665974.1016	517362.2004	717779.4657	610543.9583	751043.2362
"AT5G02500.1;AT5G02500.2"	2737095.182	2357341.539	1303478.964	1277545.067	864955.0485	1019175.85	1022327.371	979484.9162
"AT3G27690.2;AT3G27690.1"	1415085.049	3343620.595	1265174.492	1810784.051	2266052.453	1520914.388	2232409.265	1698469.057
"AT5G14030.2;AT5G14030.5;AT5G14030.1;AT5G14030.4;AT5G14030.3"	1240389.848	1282713.895	846871.8398	977093.7345	503487.3978	690843.0198	826943.7261	1087942.832
"AT1G54100.2;AT1G54100.1"	3606094.421	281685.1008	1539099.726	655381.0289	465712.0779	1512385	569216.3153	558258.4573
"AT4G23100.3;AT4G23100.2;AT4G23100.1"	2294845.231	1210420.568	1731276.784	1104820.538	1197555.24	1632651.627	1731923.177	1369804.681
"AT1G30230.1;AT1G30230.2"	5845333.696	3101365.034	4662628.085	2648951.175	1320426.703	3174652.767	2098998.373	3067791.19
"AT2G43560.2;AT2G43560.1"	989276.1897	2456266.37	1347850.156	2123708.109	968565.1364	1452458.155	1362897.703	2125807.848
"AT5G42080.2;AT5G42080.4;AT5G42080.3;AT5G42080.1"	484431.1722	612015.7153	343897.163	570893.3828	300060.0587	391523.5974	439804.9814	444334.7766
"AT1G23310.1;AT1G23310.2"	3923856.451	2984865.208	2425915.702	3055390.508	1349165.44	1992838.694	1714543.779	2358927.746
"AT2G13360.3;AT2G13360.1;AT2G13360.2"	4339334.937	4999490.336	3908659.1	4846712.391	3014761.13	3733486.062	3822063.519	3699527.522
"AT3G44110.1;AT3G44110.2"	2250978.672	1094284.92	2247430.115	1344013.417	1386355.806	1966228.458	1259251.608	1180185.179
"AT4G26530.1;AT4G26530.3;AT4G26530.2"	1303031.17	1400774.321	1155489.02	1353008.388	739570.0791	920975.0983	860294.6798	930942.9062
"AT1G24510.2;AT1G24510.3;AT1G24510.1"	812946.5219	776838.7702	398706.7891	742126.0111	321216.4817	383494.0192	393357.0715	814113.3436
"AT1G41880.2;AT1G41880.1"	1688888.743	1600692.456	1068998.987	1029967.733	849950.9432	1066005.065	687080.6785	889893.556
"AT3G15840.3;AT3G15840.4;AT3G15840.5;AT3G15840.2;AT3G15840.1"	1874251.909	1598641.133	1154737.123	1907316.795	1289866.272	1283003.952	1392256.478	1470265.885
"AT1G17890.2;AT1G17890.3;AT1G17890.1"	2761873.36	406524.0108	3750913.91	-44175.99852	6782408.954	1702017.199	71959.59785	142422.7219
"AT5G25980.1;AT5G25980.2;AT5G25980.3"	2014451.968	1957260.626	2299318.332	2899847.126	1848580.707	2350392.715	3120193.81	2349097.557
"AT1G13440.1;AT1G13440.2"	5051872.893	11931223.45	3113352.399	10726129.68	2723967.8	3319064.548	2513438.855	7014352.207
"AT1G20450.2;AT1G20450.1"	1037218.409	268322.6534	1660647.818	857456.0656	556601.7343	1938519.333	485161.75	713768.0262
"AT4G25100.3;AT4G25100.5;AT4G25100.1;AT4G25100.4;AT4G25100.2"	3039541.54	2844276.495	1621241.218	3089048.562	1226159.049	2106635.899	1520100.857	2821269.228
"AT4G32520.2;AT4G32520.1"	441400.4452	511571.6566	302142.3912	637158.7447	297417.1122	306152.7121	398515.2721	495107.0359
"AT2G47940.2;AT2G47940.1"	836578.8832	866252.6683	655484.9901	618969.081	64600153.24	504511.0146	444710.9844	537611.2744
"AT3G58010.1;AT3G58010.2"	279704.7421	306731.6751	278973.9917	469623.3318	247609.2763	270441.6608	402343.3089	343462.0164
"AT5G16390.1;AT5G16390.2"	1495880.542	1253887.97	1076432.284	927312.0895	791785.2911	948121.2821	869551.8232	899496.1152
"AT1G07320.1;AT1G07320.2;AT1G07320.3;AT1G07320.4"	5448794.014	5715949.791	3345207.909	3357376.254	2008779.62	2349167.659	3104083.041	2946522.767
"AT2G42130.5;AT2G42130.3;AT2G42130.2;AT2G42130.4;AT2G42130.1"	930549.4065	974503.4639	781455.012	824079.0863	483147.5328	610949.4911	687465.1484	725157.0779
"AT1G79550.2;AT1G79550.1"	1758407.454	1755983.756	1379923.093	1734448.712	997828.4871	1157693.921	1110543.817	1421355.553
"AT3G11400.2;AT3G11400.1"	1011820.072	1115999.945	605972.8659	721346.3717	387102.0163	498562.477	478470.162	548206.0649
"AT3G11830.2;AT3G11830.1"	1072116.011	799371.8172	1313450.024	564885.0491	377420.4132	726131.9397	487674.5115	561084.2594
"AT2G16600.1;AT2G16600.2"	4888219.129	6236908.969	3223770.303	6248849.788	3462185.012	3605830.056	5929639.59	7250669.83
"AT4G18810.1;AT4G18810.2"	1055355.033	930790.3501	1458938.052	1006040.036	905435.6143	1317231.236	1171207.195	954300.1678
"AT4G31990.2;AT4G31990.1;AT4G31990.3;AT4G31990.4"	1377963.668	1309764.828	952619.2286	1162675.166	648815.1754	997605.9382	935753.9398	1141445.586
"AT2G24270.4;AT2G24270.2;AT2G24270.3;AT2G24270.1"	2061941.109	2131382.698	1671620.088	1879618.692	1134958.237	1394712.206	1503970.83	1747174.132
"AT5G26000.2;AT5G26000.1"	7714252.882	6532178.738	7887717.829	8965085.126	6817219.022	7197547.724	9715095.563	8936349.802
"AT4G36760.3;AT4G36760.1;AT4G36760.2"	674669.8033	380196.1217	274807.7548	266948.2372	223668.5516	28731560971	633663.1875	278834.7405
"AT1G10760.1;AT1G10760.3;AT1G10760.2"	422443.7954	669838.3709	324460.0243	527366.2572	274099.9693	260868.4977	394038.9749	539212.6399
"AT4G15210.4;AT4G15210.1;AT4G15210.3;AT4G15210.2"	150293.4039	51618.21032	138112.1138	134584.1701	633217.514	242394.413	257280.8194	143479.4817
"AT3G27925.2;AT3G27925.1"	792015.9414	1185699.078	877402.2874	721005.2023	502513.5218	667768.3359	664183.4928	893500.3549
"AT4G37980.1;AT4G37980.2"	1175300.505	1279078.74	1393044.449	2404148.162	1252401.337	2284033.573	2278780.001	2038743.682
"AT3G14420.4;AT3G14420.6;AT3G14420.5;AT3G14420.3;AT3G14420.1;AT3G14420.2"	9485745.862	13759626.04	9016043.285	16755684.14	7278529.702	8774757.451	10467322.7	14642298.53
"AT2G04030.1;AT2G04030.2"	1006614.372	1128901.717	963602.3329	1168005.753	678045.9347	835232.1119	830865.4977	814309.3013
"AT3G52990.1;AT3G52990.2"	903595.253	1000604.458	672743.5805	1202893.479	587205.6808	828767.3445	707557.4579	1005278.377
"AT3G53460.1;AT3G53460.3;AT3G53460.2;AT3G53460.4"	1945132.671	3022872.567	447673.3084	643271.9158	404188.6102	574183.6815	642972.8631	882848.4795
"AT3G19170.1;AT3G19170.2"	815347.7625	1194334.951	615056.2703	855730.4601	395339.6525	513012.4582	647636.6845	711916.5049
"AT5G54430.5;AT5G54430.2;AT5G54430.4;AT5G54430.6;AT5G54430.3;AT5G54430.1"	1128906.113	574428.7174	435125.922	806522.9489	635767.8418	520087.5078	1259601.819	635159.5485
"AT4G35090.3;AT4G35090.1;AT4G35090.2"	4127790.023	6535072.523	4237204.664	5250752.096	3124292.2	3280573.72	4051182.993	4522756.842
"AT1G50200.2;AT1G50200.1"	837139.3976	924333.6552	639212.357	646664.7194	471633.0208	764740.9446	578349.6673	650447.427
"AT1G32200.2;AT1G32200.1"	807634.9023	1019139.796	620204.732	878873.1463	392890.5208	450881.3807	370495.8567	405227.3774
"AT5G17710.1;AT5G17710.2;AT5G17710.3"	1623450.912	2319973.102	1342064.27	1909766.772	992372.9295	1086626.618	1178014.924	1527438.916
"AT3G24170.1;AT3G24170.2;AT3G24170.3"	686848.6028	849881.7321	523246.2061	560364.1792	370553.6009	454496.5166	527981.927	638023.3159
"AT4G19410.1;AT4G19410.2"	765672.9484	1274209.088	620379.3822	1007462.208	856688.9126	834324.5048	910831.0478	1128666.377
"AT3G09440.3;AT3G09440.2;AT3G09440.4;AT3G09440.1"	1536892.845	1745816.596	1202511.348	1498190.528	1010004.11	1119638.712	1047422.465	1158084.007
"AT5G20720.3;AT5G20720.4;AT5G20720.2;AT5G20720.1"	5535925.912	5617856.88	4101497.168	4168478.267	2695762.414	3200112.211	3160928.656	3373636.17
"AT1G01800.2;AT1G01800.1"	423346.9593	422939.241	334406.0534	502469.1506	377562.7458	325973.7566	537806.4301	369162.7347
"AT5G07350.1;AT5G07350.2"	529583.5896	674801.7372	351389.7804	497093.3912	299321.3185	378172.6989	397129.3043	408831.2064
"AT1G63770.6;AT1G63770.1;AT1G63770.4;AT1G63770.2;AT1G63770.7;AT1G63770.3;AT1G63770.5"	544083.602	713919.9728	464437.94	569645.431	453431.2213	476154.739	605271.6687	642876.4792
"AT2G36460.2;AT2G36460.1;AT2G36460.3"	1012747.34	719085.9533	710763.7268	1605607.717	123460113.5	1128165.194	835991.8759	858629.7083
"AT2G30970.1;AT2G30970.2"	874197.0343	853699.5275	669246.991	882138.6741	515240.1584	596701.796	597289.4775	838742.0881
"AT5G59880.2;AT5G59880.1"	4788018.141	4149111.965	4508745.223	4391639.708	2023967.642	3461856.689	2635464.4	2993942.527
"AT2G27720.2;AT2G27720.4;AT2G27720.1;AT2G27720.3"	1330861.57	1376440.549	672984.5858	976488.1999	653667.0168	767288.4179	714345.1722	872236.1898
"AT1G61520.3;AT1G61520.2;AT1G61520.1"	24005798.36	24553105.88	17072646.24	21582816.74	15432391.62	15872567.55	18523633.03	21238855.61
"AT3G02090.2;AT3G02090.1"	1274311.541	1613070.853	986498.2628	1576024.348	1070008.109	1112309.804	1260749.051	1514763.879
"AT4G38220.2;AT4G38220.1"	627770.8711	510594.5191	564000.6253	529785.6091	334401.5487	674162.4952	531960.7836	462150.4568
"AT2G46820.2;AT2G46820.1"	3590846.404	4157915.324	2472798.164	4579365.825	1554315.051	2697406.305	2492515.593	4274533.337
"AT5G40370.2;AT5G40370.1"	892749.1132	1481410.241	923069.9285	1072581.138	1008561.585	1099430.151	1363445.544	1719085.535
"AT1G56190.2;AT1G56190.1"	1473733.241	2183469.022	1258188.788	2154122.821	1314052.858	1212436.995	1693368.798	1847362.831
"AT1G14810.2;AT1G14810.1"	1504803.044	1225066.637	813596.762	1270698.325	650759.4331	756881.9028	936647.9825	1070566.469
"AT3G11940.1;AT3G11940.2"	1765484.959	1553292.496	1081597.409	820870.8065	729323.1183	906472.1945	875338.5083	817061.871
"AT1G76100.1;AT1G76100.2"	6896659.15	6981473.392	5472767.752	8473503.36	5727047.025	6200684.656	6900066.057	8771847.51
"AT3G22200.2;AT3G22200.1"	687533.434	707908.5722	576512.8797	960010.8798	514593.8594	799017.1385	671084.7088	924497.6848
"AT2G42210.1;AT2G42210.3;AT2G42210.4;AT2G42210.5;AT2G42210.2"	449724.6429	482671.6788	413029.1202	493627.8729	274056.2849	447426.3382	253241.5798	316114.7628
"AT3G49010.7;AT3G49010.5;AT3G49010.2;AT3G49010.1;AT3G49010.6;AT3G49010.4;AT3G49010.3"	2296986.747	2739696.182	1505325.539	1629352.356	1283815.651	1271873.09	1237056.926	1802714.667
"AT5G66530.3;AT5G66530.2;AT5G66530.4;AT5G66530.1"	1948590.259	2763936.072	1523044.791	1551477.746	884031.1867	1617431.808	1247326.675	1664121.546
"AT3G13300.1;AT3G13300.2;AT3G13300.3"	227836.2145	267358.322	172839.7752	389605.4138	207740.6357	135058.7826	269334.1287	218804.4709
"AT3G62120.1;AT3G62120.2;AT3G62120.3"	700127.3756	774687.946	603556.5766	647352.4857	627031.9762	523898.784	731701.3814	933165.9454
"AT5G63890.1;AT5G63890.2"	553515.1703	691692.9033	470105.1307	663453.3497	298587.1216	521356.357	366560.014	477054.2462
"AT5G26570.2;AT5G26570.1"	545795.643	412853.1525	254379.6536	259267.731	201335.1842	355924.1616	382675.9606	319785.2084
"AT4G37910.1;AT4G37910.2"	512812.4015	622963.9689	561806.3516	542867.2872	454921.7104	580161.0725	289575.5824	522526.0768
"AT1G20020.2;AT1G20020.1;AT1G20020.3"	4999832.127	5745974.253	3800184.338	4690510.269	3139662.95	3666182.578	4523712.009	4374206.45
"AT4G16143.2;AT4G16143.1"	505402.4866	490481.2287	437328.552	463561.3792	355203.7188	412196.0239	457610.5976	456469.7732
"AT2G20530.1;AT2G20530.2"	416289.229	457029.7522	377163.8128	442359.0338	177183.1151	84964.02011	217318.5187	987546.2342
"AT5G13650.1;AT5G13650.2"	953782.0882	804751.1879	369081.8165	353868.9871	263328.982	294732.8972	504660.8303	463475.3512
"AT5G23010.1;AT5G23010.3;AT5G23010.2"	173245.8359	412288.0425	83791.46684	99141.74013	357325.0123	412812.7301	834491.7768	869156.2808
"AT5G52840.1;AT5G52840.2"	9681067.702	8267532.53	7486428.445	14084724.19	7381247.518	9543741.017	14101052.09	19410511.84
"AT3G56150.2;AT3G56150.1"	675093.6262	915853.5975	604117.9913	711690.519	406539.1052	471760.6036	537745.1453	392538.8106
"AT5G42390.1;AT5G42390.2"	483217.9486	469898.2558	546290.6593	262559.8628	1114873.801	300604.0554	1171290.176	270423.9463
"AT2G47510.3;AT2G47510.2;AT2G47510.1"	553921.8226	766318.4097	475506.7196	684112.323	482194.2286	1094357.183	536092.2698	597873.0379
"AT5G02870.1;AT5G02870.2"	4210244.37	2259480.694	2329657.516	1740216.498	1236744.43	1785843.588	1738184.373	1848370.616
"AT1G78900.2;AT1G78900.1"	2249753.386	1987191.271	1866848.258	2505538.678	1440080.394	1729465.469	1863063.83	1826292.928
"AT2G44060.2;AT2G44060.1"	1623241.218	1476950.95	1331066.176	1299603.351	1073820.733	1331703.431	1489898.442	1359188.848
"AT2G46280.3;AT2G46280.2;AT2G46280.1"	709780.0124	943974.2562	541445.6601	1263613.163	1398693.112	773684.1983	1235827.162	592860.659
"AT5G67500.3;AT5G67500.1;AT5G67500.2"	1255774.665	2349484.664	1088151.717	1646504.746	802601.005	1790420.654	1488165.687	2026017.495
"AT5G65620.2;AT5G65620.1"	915238.8579	802856.3403	794469.4131	692408.5108	592245.4304	650487.6644	793380.2535	823084.6853
"AT3G55610.2;AT3G55610.1"	266378.0255	250017.5118	126055.7729	158622.5612	131889.6563	115440.8954	183954.3173	180035.1563
"AT3G45780.2;AT3G45780.1"	614782.594	616491.0731	567014.5833	736656.5809	446999.7353	502227.7428	540087.5881	787871.9428
