StepN	DirN	GainBefore	GainNow
0	0	0.	2.306007
1	1	2.306007	8.435040
2	1	8.435040	9.035134
3	1	9.035134	9.152336
4	1	9.152336	8.475650
0	0	0.	2.906101
1	1	2.906101	7.497840
2	1	7.497840	7.801031
3	1	7.801031	8.632243
4	1	8.632243	8.371974
0	0	0.	3.023303
1	1	3.023303	7.622887
2	1	7.622887	7.160124
3	1	7.160124	7.563405
4	1	7.563405	7.523739
0	0	0.	9.152336
1	1	9.152336	8.411770
2	1	8.411770	8.294568
3	1	8.294568	7.818377
4	1	7.818377	7.621502
0	0	0.	8.359632
1	1	8.359632	8.242430
2	1	8.242430	8.040792
3	1	8.040792	7.871497
4	1	7.871497	7.846962
0	0	0.	5.311072
1	1	5.311072	6.927127
2	1	6.927127	7.638631
3	1	7.638631	8.362308
4	1	8.362308	8.245106
0	0	0.	7.178530
1	1	7.178530	7.531363
2	1	7.531363	7.964164
3	1	7.964164	7.988699
4	1	7.988699	7.790429
0	0	0.	5.482162
1	1	5.482162	7.417417
2	1	7.417417	7.928423
3	1	7.928423	8.157994
4	1	8.157994	7.707453
0	0	0.	4.965523
1	1	4.965523	6.827733
2	1	6.827733	7.171657
3	1	7.171657	7.685541
4	1	7.685541	7.666266
0	0	0.	5.909925
1	1	5.909925	6.363608
2	1	6.363608	6.880247
3	1	6.880247	7.141512
4	1	7.141512	7.519568
