StepN	DirN	GainBefore	GainNow
0	0	0.	3.172844
1	1	3.172844	3.468660
2	1	3.468660	3.702924
3	1	3.702924	3.801009
4	1	3.801009	3.858256
0	0	0.	3.615432
1	1	3.615432	3.849696
2	1	3.849696	3.855721
3	1	3.855721	3.841317
4	1	3.841317	3.533684
0	0	0.	3.849696
1	1	3.849696	3.659294
2	1	3.659294	3.523826
3	1	3.523826	3.623992
4	1	3.623992	3.607054
0	0	0.	3.841317
1	1	3.841317	3.506888
2	1	3.506888	3.466579
3	1	3.466579	3.305565
4	1	3.305565	3.118057
0	0	0.	3.432127
1	1	3.432127	3.639994
2	1	3.639994	3.550622
3	1	3.550622	3.548088
4	1	3.548088	3.542062
0	0	0.	3.184417
1	1	3.184417	3.222529
2	1	3.222529	3.329934
3	1	3.329934	3.393035
4	1	3.393035	3.158771
0	0	0.	3.102740
1	1	3.102740	3.350450
2	1	3.350450	3.306079
3	1	3.306079	3.387756
4	1	3.387756	3.447768
0	0	0.	2.693657
1	1	2.693657	2.965120
2	1	2.965120	3.351072
3	1	3.351072	3.423459
4	1	3.423459	3.463686
