StepN	DirN	GainBefore	GainNow
0	0	0.	11.069962
1	1	11.069962	26.451893
2	1	26.451893	35.024315
3	1	35.024315	39.198947
4	1	39.198947	41.622822
0	0	0.	17.343258
1	1	17.343258	28.875769
2	1	28.875769	37.448190
3	1	37.448190	38.092929
4	1	38.092929	41.103201
0	0	0.	17.343258
1	1	17.343258	26.289260
2	1	26.289260	33.841670
3	1	33.841670	34.964951
4	1	34.964951	39.638302
0	0	0.	19.200054
1	1	19.200054	36.873038
2	1	36.873038	40.265684
3	1	40.265684	40.040852
4	1	40.040852	37.868097
0	0	0.	29.289776
1	1	29.289776	33.448840
2	1	33.448840	36.619203
3	1	36.619203	36.011800
4	1	36.011800	34.429830
