StepN	DirN	GainBefore	GainNow
0	0	0.	9.132597
1	1	9.132597	14.343737
2	1	14.343737	18.183139
3	1	18.183139	20.519142
4	1	20.519142	22.275254
0	0	0.	7.792992
1	1	7.792992	16.100117
2	1	16.100117	18.368848
3	1	18.368848	19.757769
4	1	19.757769	20.407311
0	0	0.	9.181914
1	1	9.181914	17.489039
2	1	17.489039	19.939250
3	1	19.939250	21.136526
4	1	21.136526	21.267833
0	0	0.	11.981433
1	1	11.981433	18.071308
2	1	18.071308	20.264941
3	1	20.264941	20.272098
4	1	20.272098	20.314820
0	0	0.	11.506999
1	1	11.506999	18.987648
2	1	18.987648	21.323652
3	1	21.323652	21.254358
4	1	21.254358	22.365946
0	0	0.	13.843003
1	1	13.843003	20.643514
2	1	20.643514	21.172988
3	1	21.172988	20.596325
4	1	20.596325	20.218864
0	0	0.	19.932878
1	1	19.932878	20.462352
2	1	20.462352	20.221828
3	1	20.221828	20.964648
4	1	20.964648	20.566089
StepN	DirN	GainBefore	GainNow
0	0	0.	9.132597
1	1	9.132597	14.343737
2	1	14.343737	18.183139
3	1	18.183139	20.519142
4	1	20.519142	22.275254
0	0	0.	7.792992
1	1	7.792992	16.100117
2	1	16.100117	18.368848
3	1	18.368848	19.757769
4	1	19.757769	20.407311
0	0	0.	9.181914
1	1	9.181914	17.489039
2	1	17.489039	19.939250
3	1	19.939250	21.136526
4	1	21.136526	21.267833
0	0	0.	11.981433
1	1	11.981433	18.071308
2	1	18.071308	20.264941
3	1	20.264941	20.272098
4	1	20.272098	20.314820
0	0	0.	11.506999
1	1	11.506999	18.987648
2	1	18.987648	21.323652
3	1	21.323652	21.254358
4	1	21.254358	22.365946
0	0	0.	13.843003
1	1	13.843003	20.643514
2	1	20.643514	21.172988
3	1	21.172988	20.596325
4	1	20.596325	20.218864
0	0	0.	19.932878
1	1	19.932878	20.462352
2	1	20.462352	20.221828
3	1	20.221828	20.964648
4	1	20.964648	20.566089
