StepN	DirN	GainBefore	GainNow
0	0	0.	1.835275
1	1	1.835275	2.427027
2	1	2.427027	2.358627
3	1	2.358627	2.385053
4	1	2.385053	2.380924
0	0	0.	2.268920
1	1	2.268920	2.311179
2	1	2.311179	2.158533
3	1	2.158533	2.178785
4	1	2.178785	2.200903
0	0	0.	2.358627
1	1	2.358627	2.163981
2	1	2.163981	2.254078
3	1	2.254078	2.224765
4	1	2.224765	2.182505
0	0	0.	2.385053
1	1	2.385053	2.338664
2	1	2.338664	2.180547
3	1	2.180547	2.115711
4	1	2.115711	1.986206
0	0	0.	2.380924
1	1	2.380924	2.226374
2	1	2.226374	2.139323
3	1	2.139323	2.173360
4	1	2.173360	1.910476
StepN	DirN	GainBefore	GainNow
0	0	0.	1.835275
1	1	1.835275	2.427027
2	1	2.427027	2.358627
3	1	2.358627	2.385053
4	1	2.385053	2.380924
0	0	0.	2.268920
1	1	2.268920	2.311179
2	1	2.311179	2.158533
3	1	2.158533	2.178785
4	1	2.178785	2.200903
0	0	0.	2.099077
1	1	2.099077	2.338664
2	1	2.338664	2.226374
3	1	2.226374	2.174655
4	1	2.174655	2.132396
0	0	0.	2.338664
1	1	2.338664	2.182505
2	1	2.182505	2.254078
3	1	2.254078	2.180547
4	1	2.180547	2.001638
0	0	0.	2.380924
1	1	2.380924	2.224765
2	1	2.224765	2.083185
3	1	2.083185	2.134914
4	1	2.134914	2.173360
