StepN	DirN	GainBefore	GainNow
0	0	0.	0.623636
1	1	0.623636	2.399491
2	1	2.399491	2.035711
3	1	2.035711	1.919094
4	1	1.919094	1.322358
0	0	0.	2.399491
1	1	2.399491	1.908496
2	1	1.908496	1.835914
3	1	1.835914	1.407506
4	1	1.407506	0.810769
0	0	0.	2.035711
1	1	2.035711	1.607303
2	1	1.607303	0.946100
3	1	0.946100	0.366339
StepN	DirN	GainBefore	GainNow
0	0	0.	0.464528
1	1	0.464528	1.607303
2	1	1.607303	2.399491
3	1	2.399491	1.919094
4	1	1.919094	2.035711
0	0	0.	2.399491
1	1	2.399491	1.908496
2	1	1.908496	1.835914
3	1	1.835914	1.407506
4	1	1.407506	0.810769
0	0	0.	2.035711
1	1	2.035711	1.358067
2	1	1.358067	1.158270
3	1	1.158270	0.730972
