0	0	0.	1.467236
1	1	1.467236	5.405623
2	1	5.405623	7.939969
3	1	7.939969	9.308047
4	1	9.308047	9.530048
0	0	0.	5.405623
1	1	5.405623	6.773701
2	1	6.773701	8.350449
3	1	8.350449	8.572450
4	1	8.572450	8.111429
0	0	0.	7.939969
1	1	7.939969	8.161970
2	1	8.161970	7.976457
3	1	7.976457	7.611095
4	1	7.611095	7.150074
0	0	0.	9.308047
1	1	9.308047	8.900108
2	1	8.900108	9.069027
3	1	9.069027	8.350420
4	1	8.350420	7.022972
0	0	0.	9.530048
1	1	9.530048	8.811441
2	1	8.811441	7.443364
3	1	7.443364	6.982342
4	1	6.982342	3.430477
