0	0	0.	1.166065
1	1	1.166065	6.865628
2	1	6.865628	7.892689
3	1	7.892689	7.283011
4	1	7.283011	6.593798
0	0	0.	6.865628
1	1	6.865628	6.690450
2	1	6.690450	6.804501
3	1	6.804501	6.115287
4	1	6.115287	7.203476
0	0	0.	6.994239
1	1	6.994239	6.866036
2	1	6.866036	6.441757
3	1	6.441757	5.956095
4	1	5.956095	6.116174
0	0	0.	6.569959
1	1	6.569959	6.387903
2	1	6.387903	6.748885
3	1	6.748885	6.361594
4	1	6.361594	6.285552
0	0	0.	5.956095
1	1	5.956095	6.277003
2	1	6.277003	6.784699
3	1	6.784699	6.525055
4	1	6.525055	6.005140
0	0	0.	5.762432
1	1	5.762432	5.938241
2	1	5.938241	6.621308
3	1	6.621308	7.109554
4	1	7.109554	6.583974
0	0	0.	5.495294
1	1	5.495294	5.849036
2	1	5.849036	6.469207
3	1	6.469207	6.301288
4	1	6.301288	6.117633
