StepN	DirN	GainBefore	GainNow
0	0	0.	9.994772
1	1	9.994772	12.036895
2	1	12.036895	13.576150
3	1	13.576150	14.729417
4	1	14.729417	14.488732
0	0	0.	10.576147
1	1	10.576147	12.538267
2	1	12.538267	13.691533
3	1	13.691533	14.261018
4	1	14.261018	13.587471
0	0	0.	12.538267
1	1	12.538267	13.107751
2	1	13.107751	13.229576
3	1	13.229576	13.031025
4	1	13.031025	12.108602
0	0	0.	13.691533
1	1	13.691533	13.403856
2	1	13.403856	12.903849
3	1	12.903849	12.667740
4	1	12.667740	12.029080
0	0	0.	13.658073
1	1	13.658073	13.838542
2	1	13.838542	12.795786
3	1	12.795786	12.378425
4	1	12.378425	11.588581
0	0	0.	13.838542
1	1	13.838542	13.370680
2	1	13.370680	12.911059
3	1	12.911059	12.650015
4	1	12.650015	12.852708
0	0	0.	12.749874
1	1	12.749874	12.952567
2	1	12.952567	13.215984
3	1	13.215984	13.015268
4	1	13.015268	12.847274
