StepN	DirN	GainBefore	GainNow
0	0	0.	4.723040
1	1	4.723040	8.292689
2	1	8.292689	10.244177
3	1	10.244177	11.693176
4	1	11.693176	12.848156
0	0	0.	10.679675
1	1	10.679675	13.853388
2	1	13.853388	15.668625
3	1	15.668625	15.732319
4	1	15.732319	15.561446
0	0	0.	10.648647
1	1	10.648647	14.843129
2	1	14.843129	15.336113
3	1	15.336113	15.584050
4	1	15.584050	15.413176
0	0	0.	14.843129
1	1	14.843129	15.017989
2	1	15.017989	15.510973
3	1	15.510973	15.340100
4	1	15.340100	14.281332
0	0	0.	15.584050
1	1	15.584050	15.100561
2	1	15.100561	14.929688
3	1	14.929688	14.609817
4	1	14.609817	13.961460
0	0	0.	15.510973
1	1	15.510973	14.746940
2	1	14.746940	14.649188
3	1	14.649188	14.240667
4	1	14.240667	14.054161
0	0	0.	15.340100
1	1	15.340100	15.165240
2	1	15.165240	15.497752
3	1	15.497752	14.432731
4	1	14.432731	14.603605
0	0	0.	14.117720
1	1	14.117720	14.288593
2	1	14.288593	14.452205
3	1	14.452205	14.760321
4	1	14.760321	14.267337
