"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",19.3845166937294,-0.968356236984142,0.534285686187051,-1.81243155491372,0.0699195408136467,0.173488722571139
"AT1G01020",62.9711139853646,-0.452561249920005,0.317020440862171,-1.42754596104029,0.15342258717416,0.304521323233028
"AT1G01030",30.4383112712927,-0.109587293585891,0.442143716073389,-0.247854463609976,0.804247013461037,0.885680837117582
"AT1G01040",218.662025781951,0.656128493702277,0.274690033633727,2.38861412269934,0.0169120549010646,0.0580448301169679
"AT1G01050",222.509806266902,-0.632703767515506,0.253156318282925,-2.49926121460024,0.0124452538864349,0.0454415520195485
"AT1G01060",1132.69234658044,0.946430674303142,0.175231593743939,5.40102760057147,6.62602289677331e-08,1.02402172041042e-06
"AT1G01070",30.284534677961,-0.0799180170515819,0.435511220771478,-0.183503921919653,0.85440264177902,0.917097716175774
"AT1G01080",233.002548791521,-0.345848689040154,0.223131445155284,-1.54997736334055,0.121146949305195,0.257785626227901
"AT1G01090",547.521571743093,0.216396795089069,0.231526258849983,0.93465335709192,0.349966971717911,0.533278444961266
"AT1G01100",703.300805387418,-1.11229960922258,0.27033405154972,-4.1145375613845,3.87956384876618e-05,0.000333063556989162
"AT1G01110",16.0479206122659,1.75632718080915,0.562261460671182,3.12368409300646,0.00178602099362403,0.00919067797918881
"AT1G01120",579.694465157229,1.79959562506601,0.206349468431746,8.72110618332537,2.75496926254702e-18,1.71007467053494e-16
"AT1G01130",16.9891673760051,-0.672279611865947,0.54119983474606,-1.24220217506421,0.214161977372774,0.383710265194099
"AT1G01140",331.89064503854,0.61125748863703,0.204062522926892,2.99544218051259,0.00274047251314834,0.0132088675154813
"AT1G01160",82.0391481101418,0.064269409182348,0.322190524542104,0.199476410033124,0.841890094606796,0.909000582946477
"AT1G01170",178.906289985977,-0.11819477180306,0.240112731332111,-0.492247000595647,0.622544741973378,0.764358076715313
"AT1G01180",55.4130909547443,1.39744601939321,0.392460874270919,3.56072696925334,0.000369829479753655,0.00238342974144518
"AT1G01190",16.575320215029,0.809278088244585,0.54578828236278,1.48276926126213,0.138135725573766,0.28271378975889
"AT1G01200",11.5808073032467,0.070680979980734,0.592304840815684,0.119332099132259,0.905012253756929,0.946332071210084
"AT1G01210",71.0216842513907,-1.07872355113127,0.325216526936842,-3.31693952116021,0.000910093147271085,0.00514791897152439
"AT1G01220",148.349537515766,-0.231624534060004,0.266424822771409,-0.869380456560298,0.38463906903734,0.566511023472885
"AT1G01225",14.9473311165472,0.177366112940285,0.549044449453171,0.323045088821015,0.746661095184295,0.849327558389755
"AT1G01230",129.136855874069,0.23401848070893,0.285652972191178,0.819240489303607,0.412649218312802,0.592865140061107
"AT1G01240",101.39441450092,1.5823871062648,0.298721682217791,5.29719535092575,1.17594869910795e-07,1.7268600740986e-06
"AT1G01250",29.5321699033182,0.433542284427979,0.425791163999806,1.01820404245913,0.308580998756042,0.491013023570834
"AT1G01260",107.205422546438,0.260778416526642,0.264875290834219,0.984532818087055,0.324853603530879,0.507729574110122
"AT1G01290",35.9387248353097,0.226452660632841,0.422625649489424,0.535823277423931,0.592080693039542,0.742302783521753
