"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",21.4433952832008,-0.917951843079352,0.451543753911023,-2.03291892563801,0.0420607146359098,0.0998517973463382
"AT1G01020",65.2011096071779,-0.260974859674313,0.271541592491401,-0.961086135202577,0.336508860374994,0.481713162333021
"AT1G01030",28.2007186923675,0.355260483249254,0.390761313929132,0.909149576955522,0.363271176090322,0.508396148977987
"AT1G01040",211.945011416416,0.930436781889358,0.23031637329728,4.03982039387361,5.34921490313403e-05,0.000315033475383073
"AT1G01050",257.458434960043,-0.681491049846763,0.215047989239729,-3.1690184700451,0.00152954674813629,0.00620116334568826
"AT1G01060",1161.66433749065,0.930170529243085,0.141129859807918,6.59088395970263,4.37215520943787e-11,7.00437110083414e-10
"AT1G01070",28.8358509132623,0.287969017811233,0.397119673650068,0.725144174209269,0.46836358672143,0.609306033271077
"AT1G01080",250.435841986913,-0.258903356424546,0.200790097131355,-1.28942293531126,0.197251092135288,0.326384206554438
"AT1G01090",577.822615269649,0.259450431016814,0.194400958876778,1.33461497574849,0.182002394031246,0.307432248433781
"AT1G01100",740.958603213168,-0.895731915667885,0.23114905236125,-3.87512692142902,0.000106569138933732,0.000585865940330175
"AT1G01110",16.1462648839172,1.58817015448477,0.518455978602188,3.06326905278756,0.00218933121692925,0.00842119234931546
"AT1G01120",596.673795435635,1.48855863846759,0.186174176118747,7.99551618543566,1.29032124684228e-15,3.52825142097366e-14
"AT1G01130",14.9216633088901,-0.121445455743893,0.493584809679143,-0.246047798397279,0.805645231799953,0.874631564314343
"AT1G01140",336.443523707273,0.711377937698432,0.190133912155179,3.74145742668903,0.000182956173686592,0.000945257030558445
"AT1G01160",85.6090031752934,0.165228734996607,0.248682553183169,0.66441627239892,0.50642392085433,0.643229735649941
"AT1G01170",189.283091638967,-0.0237113841645962,0.208391277312869,-0.113782997399632,0.909409817159609,0.943930414593523
"AT1G01180",54.110096288025,1.49462235032556,0.347903621072816,4.29608161512277,1.73843601082234e-05,0.000114755272118303
"AT1G01190",14.2287446890661,1.62062982568556,0.508594982566002,3.18648410078493,0.00144013402956507,0.00588294126561274
"AT1G01200",12.2995812059652,0.121040961346284,0.514366002166758,0.235320687674537,0.813959839464751,0.880461811765282
"AT1G01210",87.3643726002345,-1.19480939672784,0.263130472350404,-4.54074887661336,5.60547662443677e-06,4.07907221337925e-05
"AT1G01220",149.890717602025,0.00247826419768386,0.218853925052958,0.0113238279691999,0.990965085584394,0.994799722410552
"AT1G01225",19.017769739148,-0.248198742610286,0.457481348462969,-0.54253303100591,0.587451359090974,0.709915561595506
"AT1G01230",134.453635379151,0.312802413685505,0.236497425761162,1.32264616698789,0.18595307362552,0.31249272206804
"AT1G01240",93.5463085265476,2.00350603688735,0.281474619277296,7.11789234152435,1.09589915404172e-12,2.13292769237045e-11
"AT1G01250",35.374444139823,0.0651462965932648,0.358043131531353,0.181950974215407,0.855621200470195,0.909495791968995
"AT1G01260",109.800795772631,0.389675745216255,0.227571231177119,1.71232428282189,0.0868369240822724,0.175725848518798
"AT1G01290",37.3324124153985,0.311262947539695,0.364133767990587,0.854803852049614,0.392659745339417,0.537819673005788
"AT1G01300",257.883265055941,-0.681349280695981,0.196348064082799,-3.47010949091231,0.000520246242020017,0.00239761232868325
"AT1G01320",2852.52508636568,0.0393658756233235,0.16866022672689,0.233403431189905,0.815448149043595,0.88156454948702
"AT1G01340",26.1276616828155,0.86596098798029,0.412204764223826,2.10080295799317,0.0356582666917418,0.0875197686910391
"AT1G01350",88.8484566742517,-0.193180777534877,0.260515045256247,-0.741534053608538,0.458369691982856,0.600343607169517
"AT1G01360",57.655028849642,0.937678357193247,0.299331164366499,3.13257845763484,0.00173278109258643,0.0068858037933618
"AT1G01370",25.0152144925483,-0.644538641568762,0.409667344015178,-1.57332199157393,0.115644279675441,0.218924661282688
"AT1G01390",39.0504859357155,0.218926433409337,0.355327555064558,0.616125685410356,0.537811570959233,0.670351968036516
"AT1G01420",94.0441138576067,-0.798420733150352,0.249515101222892,-3.19988942247276,0.00137480322228148,0.0056590108603415
"AT1G01430",363.329597845412,1.39949868581091,0.202602617519125,6.90760417090267,4.92906995576764e-12,8.93779383702236e-11
"AT1G01440",119.956544643526,0.400193226210755,0.243227979234906,1.64534206742825,0.0998992892228856,0.196195414256141
"AT1G01448",37.4726365927757,1.08378485282269,0.371861934858077,2.91448183110305,0.00356279546645305,0.0128514391322948
"AT1G01470",613.106122722748,-2.4205267576287,0.279462584592449,-8.66136252607354,4.66158464230935e-18,1.66333815646038e-16
"AT1G01480",4.08199307286275,1.10729032078535,0.727556007530786,1.52193138304682,0.128026274658259,0.237029777374371
"AT1G01490",233.391013804483,1.30026460974252,0.186946764521365,6.95526672029629,3.51895626749586e-12,6.48065846330616e-11
"AT1G01500",87.7161506273526,-0.296565492573599,0.270443599804192,-1.09658905882158,0.272821072481992,0.412913641192218
"AT1G01510",237.36482660231,-0.337175513934643,0.189884301770326,-1.77568925282972,0.0757841497542103,0.158061926421933
"AT1G01520",63.8937372014014,-1.88338059730406,0.313347771142879,-6.0105121872569,1.84938105117703e-09,2.36643934150959e-08
"AT1G01540",389.997450657175,0.0667503509708019,0.191156863281335,0.349191495534022,0.726945550433755,0.816968156178236
"AT1G01550",710.700546074715,0.311483268114383,0.1611015077648,1.93345967046524,0.0531795966272534,0.120132326193939
"AT1G01560",8.22023072972423,0.684397664597974,0.612931114438099,1.11659801318031,0.264166241524116,0.403712043950567
"AT1G01570",6.92371584124376,0.911488534156446,0.637588599680515,1.42958725205121,0.152835516454758,0.269861399250951
"AT1G01580",18.7377170352314,0.852340503312862,0.473970574593294,1.79829835226425,0.0721297407278099,0.15229455511733
"AT1G01600",108.191907813433,-0.0571744607838825,0.256140056237284,-0.223215617360984,0.823367697666028,0.887097938117001
"AT1G01610",489.973891696149,-0.0274966356404638,0.18562360361817,-0.148131137982995,0.882239275962865,0.92715281406512
"AT1G01620",1723.02985633536,1.57235711155298,0.199728782735241,7.87246129486145,3.47731270251952e-15,9.09896823825942e-14
