new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	17.615937
1	1	17.615937	17.077855
2	1	17.077855	16.265241
3	1	16.265241	14.801187
4	1	14.801187	13.503215
0	0	0.	12.968842
1	1	12.968842	13.759879
2	1	13.759879	15.034528
3	1	15.034528	16.803324
4	1	16.803324	15.341288
0	0	0.	12.104236
1	1	12.104236	12.634733
2	1	12.634733	13.201294
3	1	13.201294	13.928432
4	1	13.928432	15.374229
0	0	0.	9.836644
1	1	9.836644	10.803703
2	1	10.803703	12.189273
3	1	12.189273	13.153646
4	1	13.153646	14.879613
0	0	0.	9.918423
1	1	9.918423	11.627993
2	1	11.627993	13.169093
3	1	13.169093	15.177224
4	1	15.177224	15.392650
0	0	0.	8.600672
1	1	8.600672	9.759069
2	1	9.759069	11.144639
3	1	11.144639	12.597942
4	1	12.597942	14.326857
0	0	0.	8.062589
1	1	8.062589	9.380340
2	1	9.380340	11.089910
3	1	11.089910	12.631010
4	1	12.631010	14.639141
0	0	0.	7.516642
1	1	7.516642	8.834393
2	1	8.834393	10.543964
3	1	10.543964	12.243763
4	1	12.243763	13.800356
0	0	0.	6.322750
1	1	6.322750	7.277985
2	1	7.277985	8.670655
3	1	8.670655	10.518296
4	1	10.518296	12.276332
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.770224
1	1	1.770224	1.463620
2	1	1.463620	0.564928
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.861682
1	1	1.861682	20.895964
2	1	20.895964	20.416321
3	1	20.416321	18.427053
0	0	0.	1.861682
1	1	1.861682	2.373397
2	1	2.373397	18.383458
3	1	18.383458	1.030160
4	1	1.030160	2.372163
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	2.721615
1	1	2.721615	2.911504
2	1	2.911504	3.647859
3	1	3.647859	3.189657
4	1	3.189657	3.136386
0	0	0.	2.911504
1	1	2.911504	3.299701
2	1	3.299701	3.004764
3	1	3.004764	2.795255
4	1	2.795255	2.337053
0	0	0.	3.647859
1	1	3.647859	3.055564
2	1	3.055564	2.847355
3	1	2.847355	2.813114
4	1	2.813114	2.868444
0	0	0.	3.136386
1	1	3.136386	3.003360
2	1	3.003360	2.921873
3	1	2.921873	2.835962
4	1	2.835962	2.501416
0	0	0.	2.855929
1	1	2.855929	2.969485
2	1	2.969485	2.721141
3	1	2.721141	2.557470
4	1	2.557470	2.424772
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	4.050908
1	1	4.050908	4.607714
2	1	4.607714	3.796211
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	6.580351
1	1	6.580351	8.346724
2	1	8.346724	7.781728
3	1	7.781728	6.993139
4	1	6.993139	6.337628
0	0	0.	8.346724
1	1	8.346724	7.467210
2	1	7.467210	6.902213
3	1	6.902213	6.113624
4	1	6.113624	5.458114
0	0	0.	6.993139
1	1	6.993139	6.842935
2	1	6.842935	6.595599
3	1	6.595599	5.990859
4	1	5.990859	5.579913
0	0	0.	5.806385
1	1	5.806385	6.786816
2	1	6.786816	6.539480
3	1	6.539480	6.360409
4	1	6.360409	5.662426
0	0	0.	5.655658
1	1	5.655658	6.427543
2	1	6.427543	7.291491
3	1	7.291491	7.074093
4	1	7.074093	6.129766
0	0	0.	4.618241
1	1	4.618241	5.430096
2	1	5.430096	6.178479
3	1	6.178479	6.814772
4	1	6.814772	6.676678
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.524114
1	1	1.524114	1.728852
2	1	1.728852	1.791898
3	1	1.791898	1.208258
0	0	0.	1.662604
1	1	1.662604	1.290515
2	1	1.290515	0.811366
3	1	0.811366	0.875773
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	2.264374
1	1	2.264374	4.039290
2	1	4.039290	5.085816
3	1	5.085816	5.289404
4	1	5.289404	5.314911
0	0	0.	3.022551
1	1	3.022551	5.022262
2	1	5.022262	5.296664
3	1	5.296664	5.192428
4	1	5.192428	5.210675
0	0	0.	5.022262
1	1	5.022262	4.822014
2	1	4.822014	5.096416
3	1	5.096416	5.114664
4	1	5.114664	5.083247
0	0	0.	4.790598
1	1	4.790598	5.065000
2	1	5.065000	5.057740
3	1	5.057740	5.089156
4	1	5.089156	5.013274
0	0	0.	3.406575
1	1	3.406575	4.960763
2	1	4.960763	4.992180
3	1	4.992180	5.010427
4	1	5.010427	4.934545
0	0	0.	3.424823
1	1	3.424823	4.979011
2	1	4.979011	4.854151
3	1	4.854151	4.885568
4	1	4.885568	4.809686
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.830351
1	1	1.830351	24.101159
2	1	24.101159	33.272349
3	1	33.272349	37.742888
4	1	37.742888	41.189777
0	0	0.	11.001542
1	1	11.001542	15.770586
2	1	15.770586	36.719238
3	1	36.719238	37.276982
4	1	37.276982	36.973119
0	0	0.	33.272349
1	1	33.272349	36.591988
2	1	36.591988	40.343807
3	1	40.343807	40.439522
4	1	40.439522	40.885914
0	0	0.	33.272349
1	1	33.272349	34.032938
2	1	34.032938	34.250119
3	1	34.250119	37.738433
4	1	37.738433	37.839949
0	0	0.	33.272349
1	1	33.272349	33.702991
2	1	33.702991	34.059455
3	1	34.059455	33.946256
4	1	33.946256	37.053911
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	6.795883
1	1	6.795883	9.794524
2	1	9.794524	9.611159
3	1	9.611159	10.514980
4	1	10.514980	9.743948
0	0	0.	10.514980
1	1	10.514980	10.423347
2	1	10.423347	10.130468
3	1	10.130468	9.359437
4	1	9.359437	8.840127
0	0	0.	9.743948
1	1	9.743948	9.652315
2	1	9.652315	9.333009
3	1	9.333009	10.104040
4	1	10.104040	9.137512
0	0	0.	7.724152
1	1	7.724152	8.638403
2	1	8.638403	9.409435
3	1	9.409435	9.317801
4	1	9.317801	9.024923
0	0	0.	7.632518
1	1	7.632518	8.546770
2	1	8.546770	8.253891
3	1	8.253891	8.320203
4	1	8.320203	9.091235
0	0	0.	7.988829
1	1	7.988829	8.759860
2	1	8.759860	9.147982
3	1	9.147982	9.239616
4	1	9.239616	9.003991
0	0	0.	7.492127
1	1	7.492127	8.263159
2	1	8.263159	8.821100
3	1	8.821100	9.926645
4	1	9.926645	9.407336
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	2.128246
1	1	2.128246	43.317070
2	1	43.317070	52.750054
0	0	0.	2.128246
1	1	2.128246	42.807463
2	1	42.807463	51.733603
3	1	51.733603	11.556707
4	1	11.556707	11.561230
