new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	4.948347
1	1	4.948347	6.752534
2	1	6.752534	7.195281
3	1	7.195281	7.511070
4	1	7.511070	9.234372
0	0	0.	6.884752
1	1	6.884752	8.634684
2	1	8.634684	9.252835
3	1	9.252835	9.542660
4	1	9.542660	9.768923
0	0	0.	9.130352
1	1	9.130352	9.756670
2	1	9.756670	9.982932
3	1	9.982932	10.078786
4	1	10.078786	10.048344
0	0	0.	9.756670
1	1	9.756670	9.852523
2	1	9.852523	9.822082
3	1	9.822082	9.870854
4	1	9.870854	9.702007
0	0	0.	9.982932
1	1	9.982932	9.976448
2	1	9.976448	9.946007
3	1	9.946007	9.821475
4	1	9.821475	9.952491
0	0	0.	10.078786
1	1	10.078786	9.909938
2	1	9.909938	9.879497
3	1	9.879497	9.783643
4	1	9.783643	9.777159
0	0	0.	10.048344
1	1	10.048344	9.873050
2	1	9.873050	9.903492
3	1	9.903492	9.807638
4	1	9.807638	9.801154
0	0	0.	9.873050
1	1	9.873050	9.777197
2	1	9.777197	9.770713
3	1	9.770713	9.636285
4	1	9.636285	9.811579
0	0	0.	9.704203
1	1	9.704203	9.734644
2	1	9.734644	9.638791
3	1	9.638791	9.814085
4	1	9.814085	9.807601
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.863262
1	1	1.863262	2.499711
2	1	2.499711	3.078194
0	0	0.	2.499711
1	1	2.499711	2.253159
2	1	2.253159	2.441745
3	1	2.441745	1.595579
4	1	1.595579	0.728884
new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	2.562800
1	1	2.562800	3.727517
2	1	3.727517	3.920852
3	1	3.920852	3.801018
4	1	3.801018	3.890366
0	0	0.	3.727517
1	1	3.727517	3.490053
2	1	3.490053	3.187566
3	1	3.187566	3.618365
4	1	3.618365	3.702265
0	0	0.	3.801018
1	1	3.801018	3.884918
2	1	3.884918	3.559233
3	1	3.559233	3.128434
4	1	3.128434	1.844869
0	0	0.	3.884918
1	1	3.884918	3.487660
2	1	3.487660	3.264627
3	1	3.264627	3.479232
4	1	3.479232	3.217513
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	3.134443
1	1	3.134443	3.295558
2	1	3.295558	3.282979
3	1	3.282979	1.912459
0	0	0.	3.295558
1	1	3.295558	3.165525
2	1	3.165525	2.498885
3	1	2.498885	0.895385
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.092958
1	1	1.092958	1.893448
2	1	1.893448	0.926667
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.467236
1	1	1.467236	5.405623
2	1	5.405623	7.939969
3	1	7.939969	9.308047
4	1	9.308047	9.530048
0	0	0.	5.405623
1	1	5.405623	6.773701
2	1	6.773701	8.350449
3	1	8.350449	8.572450
4	1	8.572450	8.111429
0	0	0.	7.939969
1	1	7.939969	8.161970
2	1	8.161970	7.976457
3	1	7.976457	7.611095
4	1	7.611095	7.150074
0	0	0.	9.308047
1	1	9.308047	8.900108
2	1	8.900108	9.069027
3	1	9.069027	8.350420
4	1	8.350420	7.022972
0	0	0.	9.530048
1	1	9.530048	8.811441
2	1	8.811441	7.443364
3	1	7.443364	6.982342
4	1	6.982342	3.430477
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	1.873418
1	1	1.873418	15.324040
2	1	15.324040	27.982098
3	1	27.982098	28.506312
0	0	0.	14.531475
1	1	14.531475	18.113514
2	1	18.113514	23.947015
3	1	23.947015	22.995111
4	1	22.995111	12.882994
0	0	0.	14.531475
1	1	14.531475	16.383836
2	1	16.383836	16.697160
3	1	16.697160	16.172946
4	1	16.172946	21.409725
