new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	5.840004
1	1	5.840004	5.458980
2	1	5.458980	1.882568
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	4.872294
1	1	4.872294	11.861557
2	1	11.861557	14.562019
3	1	14.562019	17.711452
4	1	17.711452	18.838796
0	0	0.	6.670484
1	1	6.670484	15.207469
2	1	15.207469	18.013320
3	1	18.013320	18.814515
4	1	18.814515	19.639991
0	0	0.	11.733571
1	1	11.733571	14.497342
2	1	14.497342	15.958799
3	1	15.958799	16.784275
4	1	16.784275	18.039199
0	0	0.	18.013320
1	1	18.013320	17.519681
2	1	17.519681	18.345158
3	1	18.345158	19.146353
4	1	19.146353	17.593731
0	0	0.	18.838796
1	1	18.838796	17.714125
2	1	17.714125	17.220486
3	1	17.220486	18.320876
4	1	18.320876	16.998919
0	0	0.	19.639991
1	1	19.639991	18.087369
2	1	18.087369	17.286174
3	1	17.286174	16.792536
4	1	16.792536	15.665191
