new walking started
StepN	DirectionN	GainBefore	GainNow
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	8.403189
1	1	8.403189	15.510607
2	1	15.510607	16.927719
3	1	16.927719	18.292515
4	1	18.292515	18.278147
0	0	0.	15.510607
1	1	15.510607	16.659629
2	1	16.659629	16.748694
3	1	16.748694	17.242326
4	1	17.242326	12.589969
0	0	0.	18.292515
1	1	18.292515	15.992913
2	1	15.992913	16.379848
3	1	16.379848	17.227958
4	1	17.227958	15.985783
0	0	0.	18.278147
1	1	18.278147	15.602881
2	1	15.602881	15.598917
3	1	15.598917	15.137673
4	1	15.137673	11.116025
