new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	3.450620
1	1	3.450620	4.199643
2	1	4.199643	3.956347
3	1	3.956347	3.618184
4	1	3.618184	2.883708
0	0	0.	4.199643
1	1	4.199643	3.501413
2	1	3.501413	3.399690
3	1	3.399690	2.665213
4	1	2.665213	1.739866
0	0	0.	3.956347
1	1	3.956347	3.207324
2	1	3.207324	2.869162
3	1	2.869162	2.752390
4	1	2.752390	2.650667
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	8.527248
1	1	8.527248	10.687936
2	1	10.687936	11.483048
3	1	11.483048	10.960114
4	1	10.960114	11.704887
0	0	0.	9.322361
1	1	9.322361	9.970399
2	1	9.970399	11.012967
3	1	11.012967	10.703341
4	1	10.703341	10.572366
0	0	0.	11.483048
1	1	11.483048	10.939177
2	1	10.939177	11.382833
3	1	11.382833	10.690913
4	1	10.690913	10.381287
0	0	0.	11.704887
1	1	11.704887	10.909775
2	1	10.909775	10.587721
3	1	10.587721	9.895801
4	1	9.895801	9.586175
0	0	0.	10.572366
1	1	10.572366	10.418153
2	1	10.418153	10.409899
3	1	10.409899	10.506080
4	1	10.506080	10.184026
0	0	0.	10.079148
1	1	10.079148	10.175329
2	1	10.175329	10.227076
3	1	10.227076	9.967975
4	1	9.967975	9.530121
new walking started
StepN	DirectionN	GainBefore	GainNow
0	0	0.	0.000000
1	1	0.000000	22.318143
2	1	22.318143	22.792331
3	1	22.792331	21.864730
0	0	0.	1.141159
1	1	1.141159	9.946285
2	1	9.946285	9.018684
3	1	9.018684	21.557759
