StepN	DirN	GainBefore	GainNow
0	0	0.	1.222797
1	1	1.222797	1.792953
2	1	1.792953	2.148401
3	1	2.148401	2.598465
4	1	2.598465	2.966164
0	0	0.	1.291241
1	1	1.291241	1.963640
2	1	1.963640	2.432538
3	1	2.432538	2.800236
4	1	2.800236	2.996202
0	0	0.	2.402499
1	1	2.402499	2.770198
2	1	2.770198	2.508754
3	1	2.508754	2.699592
4	1	2.699592	2.349725
0	0	0.	2.770198
1	1	2.770198	2.397135
2	1	2.397135	2.475349
3	1	2.475349	2.527305
4	1	2.527305	2.427664
0	0	0.	2.966164
1	1	2.966164	2.454465
2	1	2.454465	2.422233
3	1	2.422233	2.628504
4	1	2.628504	2.380418
