StepN	DirN	GainBefore	GainNow
0	0	0.	0.421768
1	1	0.421768	7.577086
2	1	7.577086	22.845545
3	1	22.845545	34.348528
4	1	34.348528	36.197413
0	0	0.	6.844032
1	1	6.844032	19.967168
2	1	19.967168	31.470152
3	1	31.470152	33.319037
4	1	33.319037	35.906806
0	0	0.	22.845545
1	1	22.845545	33.180802
2	1	33.180802	35.029687
3	1	35.029687	34.860182
4	1	34.860182	34.042264
0	0	0.	8.658729
1	1	8.658729	31.097541
2	1	31.097541	32.946426
3	1	32.946426	34.406078
4	1	34.406078	34.163704
0	0	0.	9.155887
1	1	9.155887	33.130602
2	1	33.130602	33.922404
3	1	33.922404	33.981444
4	1	33.981444	33.771008
0	0	0.	10.207365
1	1	10.207365	35.116079
2	1	35.116079	36.197956
3	1	36.197956	35.925863
4	1	35.925863	35.199750
0	0	0.	9.933233
1	1	9.933233	34.753729
2	1	34.753729	34.586858
3	1	34.586858	34.949208
4	1	34.949208	34.798485
0	0	0.	9.933233
1	1	9.933233	32.164924
2	1	32.164924	34.195001
3	1	34.195001	35.149336
4	1	35.149336	35.030230
0	0	0.	9.933233
1	1	9.933233	31.875352
2	1	31.875352	34.463121
3	1	34.463121	35.907348
4	1	35.907348	34.903226
0	0	0.	9.933233
1	1	9.933233	31.686917
2	1	31.686917	33.131144
3	1	33.131144	34.406621
4	1	34.406621	34.164247
0	0	0.	9.933233
1	1	9.933233	31.502741
2	1	31.502741	34.096114
3	1	34.096114	34.551551
4	1	34.551551	34.997572
