StepN	DirN	GainBefore	GainNow
0	0	0.	9.722812
1	1	9.722812	43.222917
2	1	43.222917	48.158262
3	1	48.158262	51.463482
4	1	51.463482	53.047133
0	0	0.	9.722812
1	1	9.722812	15.157239
2	1	15.157239	46.393058
3	1	46.393058	51.328403
4	1	51.328403	53.265784
0	0	0.	15.157239
1	1	15.157239	46.302573
2	1	46.302573	48.955466
3	1	48.955466	49.347590
4	1	49.347590	53.181262
0	0	0.	15.919094
1	1	15.919094	47.251548
2	1	47.251548	51.328369
3	1	51.328369	52.994123
4	1	52.994123	53.519385
0	0	0.	18.206746
1	1	18.206746	49.442565
2	1	49.442565	51.323298
3	1	51.323298	51.322656
4	1	51.322656	51.069054
