Path	nRoot	childrenMax	hc_GG	hc_Time	hc_DxC	walk_GG	walk_Time	walk_DxC
22	4	3	12.582993	0.000387	1.000000	12.582993	0.000197	1.000000
6	9	5	17.958676	0.004011	0.889312	17.958676	0.002614	0.889312
24	12	6	22.484741	0.005608	0.751591	22.227653	0.003178	0.753248
5	11	6	20.653123	0.003789	1.000000	20.653123	0.002283	1.000000
14	13	6	20.275259	0.002715	0.846639	19.564527	0.001465	0.923228
17	49	7	33.040879	0.026721	0.555870	33.200305	0.014573	0.537507
2	57	8	37.589402	0.023708	0.598888	37.589402	0.012039	0.598888
25	21	8	31.923179	0.014771	0.418112	30.711745	0.006866	0.488824
8	83	9	39.321567	0.101959	0.642675	37.417973	0.043895	0.702717
12	18	9	24.846361	0.008377	0.634667	24.846361	0.003299	0.634667
7	17	9	26.060933	0.011036	0.765610	25.170058	0.005043	0.882562
23	56	9	40.714317	0.032728	0.385235	39.392281	0.017158	0.404190
16	91	9	41.222815	0.094792	0.696012	40.958941	0.057133	0.707346
18	19	10	25.576705	0.018047	0.591261	23.464148	0.005441	0.743449
15	16	10	26.204733	0.011694	0.580207	26.289308	0.005074	0.521985
13	168	12	51.308311	0.331707	0.526637	48.925078	0.190287	0.556116
10	79	12	42.396375	0.121213	0.497240	41.081482	0.057736	0.523689
9	55	13	40.710449	0.152067	0.639932	39.373431	0.040314	0.624508
11	87	13	54.322417	0.148202	0.610827	54.322417	0.081835	0.610827
4	70	15	63.304682	0.139956	0.505520	60.562902	0.062094	0.535149
3	31	16	31.374999	0.104155	0.592422	31.264852	0.022549	0.565716
34	113	16	51.092671	0.618668	0.423803	48.758766	0.259778	0.495703
19	37	18	46.244791	0.174626	0.429495	45.387581	0.048871	0.460057
28	43	19	46.098306	0.223227	0.565127	42.581277	0.043526	0.589410
21	111	19	56.470516	0.802597	0.493833	53.932613	0.219588	0.502675
26	175	25	69.513757	3.674435	0.318147	59.947868	1.094612	0.441980
33	35	29	41.837033	1.293522	0.485587	38.996515	0.165219	0.489310
1	182	36	78.394419	2.736883	0.358980	71.617209	0.620315	0.392059
27	156	37	83.180448	4.643220	0.383701	74.326362	1.036859	0.421949
20	124	50	78.221108	11.273531	0.428797	68.365530	1.587192	0.413435
30	130	55	96.862717	7.510005	0.357351	93.228927	2.224041	0.392715
29	744	58	208.625599	59.078805	0.303942	176.616931	13.507628	0.318687
31	163	85	117.327744	799.444652	0.319084	104.100267	10.921706	0.377785
