Path	nRoot	childrenMax	hc_GG	hc_Time	hc_DxC	walk_GG	walk_Time	walk_DxC
22	4	3	12.582993	0.009374	1.000000	12.582993	0.009591	1.000000
6	9	5	17.958676	0.001751	0.889312	17.958676	0.003892	0.889312
24	12	6	22.227653	0.002051	0.753248	22.484741	0.011819	0.751591
5	11	6	20.653123	0.003385	1.000000	20.653123	0.008773	1.000000
14	13	6	19.564527	0.001406	0.923228	20.275259	0.006798	0.846639
17	49	7	33.200305	0.014454	0.537507	33.200305	0.058340	0.537507
2	57	8	37.589402	0.015908	0.598888	37.589402	0.067383	0.598888
25	21	8	30.711745	0.005531	0.488824	31.923179	0.037456	0.418112
8	83	9	37.417973	0.041633	0.702717	39.342623	0.194328	0.642052
12	18	9	24.846361	0.003123	0.634667	24.846361	0.037807	0.634667
7	17	9	25.170058	0.004976	0.882562	26.060933	0.032241	0.765610
23	56	9	39.392281	0.018305	0.404190	40.714317	0.075134	0.385235
16	91	9	40.958941	0.052044	0.707346	41.222815	0.207790	0.696012
18	19	10	23.464148	0.005629	0.743449	25.576705	0.082416	0.591261
15	16	10	26.289308	0.009066	0.521985	26.353003	0.073271	0.575582
13	168	12	48.925078	0.212696	0.556116	51.308311	0.609850	0.526637
10	79	12	41.081482	0.056785	0.523689	42.396375	0.349002	0.497240
9	55	13	39.373431	0.054897	0.624508	40.742295	0.736425	0.639790
11	87	13	54.322417	0.075658	0.610827	54.352058	0.556293	0.623255
4	70	15	60.562902	0.063588	0.535149	63.304682	0.601204	0.505520
3	31	16	31.264852	0.024142	0.565716	31.374999	0.655320	0.592422
34	113	16	48.758766	0.256050	0.495703	52.291511	2.694924	0.455793
19	37	18	45.387581	0.066655	0.460057	46.244791	1.460066	0.429495
28	43	19	42.581277	0.044639	0.589410	46.098306	1.289511	0.565127
21	111	19	53.932613	0.204873	0.502675	56.830368	4.456431	0.492601
26	175	25	59.947868	1.194734	0.441980	69.654329	18.094778	0.315736
33	35	29	38.996515	0.208071	0.489310	41.837033	19.991617	0.485587
1	182	36	71.617209	0.739942	0.392059	79.247655	29.144180	0.346530
27	156	37	74.326362	0.888316	0.421949	84.328480	61.143744	0.387715
