StepN	DirN	GainBefore	GainNow
0	0	0.	5.823924
1	1	5.823924	5.003342
2	1	5.003342	4.478112
3	1	4.478112	4.192906
4	1	4.192906	4.257959
0	0	0.	4.176840
1	1	4.176840	4.838436
2	1	4.838436	4.462353
3	1	4.462353	3.762906
4	1	3.762906	2.941967
0	0	0.	3.991518
1	1	3.991518	3.994061
2	1	3.994061	4.677853
3	1	4.677853	4.107388
4	1	4.107388	4.870435
0	0	0.	3.517845
1	1	3.517845	3.804223
2	1	3.804223	4.118910
3	1	4.118910	4.744886
4	1	4.744886	3.959634
0	0	0.	3.216453
1	1	3.216453	3.690126
2	1	3.690126	3.875448
3	1	3.875448	3.333977
4	1	3.333977	3.954817
