StepN	DirN	GainBefore	GainNow
0	0	0.	1.971021
1	1	1.971021	2.992483
2	1	2.992483	3.798880
3	1	3.798880	3.740561
4	1	3.740561	3.562504
0	0	0.	2.992483
1	1	2.992483	3.058963
2	1	3.058963	3.000644
3	1	3.000644	2.994643
4	1	2.994643	2.816586
0	0	0.	3.798880
1	1	3.798880	3.710937
2	1	3.710937	3.599268
3	1	3.599268	3.683879
4	1	3.683879	3.819936
0	0	0.	3.620823
1	1	3.620823	3.661913
2	1	3.661913	3.603594
3	1	3.603594	3.462147
4	1	3.462147	3.172247
0	0	0.	3.661913
1	1	3.661913	3.520466
2	1	3.520466	3.380117
3	1	3.380117	3.148125
4	1	3.148125	3.156974
0	0	0.	3.603594
1	1	3.603594	3.422760
2	1	3.422760	3.535610
3	1	3.535610	3.472548
4	1	3.472548	3.065762
