StepN	DirN	GainBefore	GainNow
0	0	0.	3.464083
1	1	3.464083	4.451745
2	1	4.451745	7.795769
3	1	7.795769	8.696136
4	1	8.696136	8.206873
0	0	0.	4.364450
1	1	4.364450	5.352112
2	1	5.352112	7.257383
3	1	7.257383	7.324605
4	1	7.324605	6.835343
0	0	0.	6.840127
1	1	6.840127	7.194387
2	1	7.194387	7.072039
3	1	7.072039	6.714862
4	1	6.714862	6.225600
0	0	0.	8.696136
1	1	8.696136	8.057652
2	1	8.057652	7.955234
3	1	7.955234	7.976063
4	1	7.976063	7.961761
0	0	0.	7.955234
1	1	7.955234	7.663970
2	1	7.663970	7.171593
3	1	7.171593	7.238320
4	1	7.238320	7.625661
0	0	0.	7.663970
1	1	7.663970	7.035274
2	1	7.035274	7.466507
3	1	7.466507	7.084172
4	1	7.084172	7.050343
0	0	0.	6.983397
1	1	6.983397	7.274661
2	1	7.274661	7.927803
3	1	7.927803	7.046493
4	1	7.046493	7.080451
