StepN	DirN	GainBefore	GainNow
0	0	0.	12.798009
1	1	12.798009	18.362075
2	1	18.362075	23.378796
3	1	23.378796	25.576705
4	1	25.576705	24.949538
0	0	0.	17.604747
1	1	17.604747	22.428157
2	1	22.428157	23.316831
3	1	23.316831	23.185967
4	1	23.185967	24.621042
0	0	0.	19.188965
1	1	19.188965	24.720081
2	1	24.720081	23.764933
3	1	23.764933	24.358622
4	1	24.358622	24.470332
0	0	0.	21.035906
1	1	21.035906	24.346605
2	1	24.346605	24.732753
3	1	24.732753	24.459639
4	1	24.459639	23.518671
0	0	0.	21.159634
1	1	21.159634	22.655876
2	1	22.655876	22.645183
3	1	22.645183	21.980371
4	1	21.980371	23.252093
0	0	0.	20.153449
1	1	20.153449	23.464148
2	1	23.464148	23.726568
3	1	23.726568	23.943354
4	1	23.943354	24.570520
0	0	0.	20.153449
1	1	20.153449	23.352437
2	1	23.352437	23.614858
3	1	23.614858	23.713896
4	1	23.713896	23.762649
0	0	0.	19.399254
1	1	19.399254	22.709953
2	1	22.709953	23.716137
3	1	23.716137	23.994391
4	1	23.994391	23.036959
