"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",25.6690391705378,-0.962346200511216,0.370214920863193,-2.59942575590257,0.00933798757777371,0.0680602003549916
"AT1G01020",69.1003661332597,-0.226732742174045,0.266069478445864,-0.852156149207387,0.394127431212481,0.694540463801604
"AT1G01030",33.2774841925678,0.0726080843403446,0.355823429300483,0.204056502077689,0.838309345406003,0.94509858720452
"AT1G01040",241.486914896961,0.625477468878548,0.274720208352383,2.2767799741774,0.0227993679661598,0.128296747736537
"AT1G01050",212.250553297889,-0.0279248122188698,0.218365269292759,-0.127881197908956,0.898242990759624,0.964679605943975
"AT1G01060",908.64979498643,3.04299784406424,0.154377751220473,19.7113756354594,1.72221045943401e-86,3.18453936053943e-82
"AT1G01070",21.8713071701779,1.37340419162011,0.381349503605165,3.60143170146115,0.000316469566716498,0.00529099345221949
"AT1G01080",232.210130067753,0.132708230120793,0.188821895529145,0.702822253472766,0.482166527137742,0.760546758715786
"AT1G01090",544.374743701289,0.662576679997719,0.201001482964706,3.29637707257146,0.000979404652163467,0.0128806340136235
"AT1G01100",490.758288689717,0.306529438172364,0.251988604041585,1.2164416694089,0.223816718645747,0.529638462308486
"AT1G01110",26.2443052041855,0.0692765147367103,0.352711162174963,0.196411461178384,0.844288126251563,0.946796757991246
"AT1G01120",768.795173823621,0.646476974119459,0.180439042922718,3.58279984003431,0.000339931079662688,0.00561940166703826
"AT1G01130",11.6073976574483,0.515246825993165,0.434099813064097,1.18693169286642,0.235254564999247,0.542405506409111
"AT1G01140",435.184426281803,0.0842538164594532,0.169201269824851,0.497950260932846,0.618519100391154,0.844022433234654
"AT1G01160",105.995936681644,-0.224097137548435,0.236434455721066,-0.947819288288566,0.34322145941987,0.655468726538183
"AT1G01170",257.710821112282,-0.616102034110188,0.192663380883769,-3.19781595902686,0.00138472623605574,0.0169457133229031
"AT1G01180",78.4171350435234,0.270704879122906,0.275751321311985,0.981699300061122,0.326248010344565,0.637913880762811
"AT1G01190",16.837350395313,0.903002959362814,0.399771238190202,2.25879921589853,0.0238958773347089,0.132531094120007
"AT1G01200",10.9293758659098,0.499894781412474,0.426631959727564,1.17172370708395,0.241308001768502,0.548699736928353
"AT1G01210",68.5086564141793,-0.483406073094712,0.286192797780212,-1.68909237704142,0.0912017284682049,0.316918781338109
"AT1G01220",141.460350614808,0.366317417664501,0.226708824001665,1.61580573353338,0.106136321543842,0.347541477185619
"AT1G01225",17.6572841262127,0.0803875584986639,0.39193025408581,0.205106795560273,0.837488687215924,0.94509858720452
"AT1G01230",157.594518903256,0.0348394593952677,0.227736522059766,0.152981432579025,0.878412917582381,0.957595404964969
"AT1G01240",132.765428361412,0.595096215804155,0.237888538033752,2.50157582506023,0.0123641962779984,0.0832276495727951
"AT1G01250",31.5134408283547,0.539178591030446,0.366808166412525,1.46991981204712,0.141583473057687,0.414936749051158
"AT1G01260",130.880484549979,0.0608087964334681,0.222380332379073,0.273445028986703,0.784511143045087,0.923805372220534
"AT1G01290",53.3345613183464,-0.406574235920509,0.307635337843261,-1.32161096566759,0.186297730000785,0.482942846690666
"AT1G01300",203.965595989798,0.0915841222860043,0.221230800055469,0.413975460302279,0.678892078704732,0.873704999118123
"AT1G01320",2666.52771367991,0.441810420257991,0.184660047586018,2.3925609574653,0.0167312485588776,0.103125839034068
"AT1G01340",30.5468048848377,0.436827807813984,0.370957988506469,1.17756679017135,0.23896935597521,0.546096198721841
"AT1G01350",87.6238799258388,0.0213489114650243,0.254877424158996,0.0837614847037475,0.933246071117656,0.977598619311283
"AT1G01360",81.3509638050716,0.026042199370514,0.266623402161484,0.0976740944695512,0.922191086793227,0.973990577359564
"AT1G01370",16.3809862698529,0.488315892226837,0.410635982904797,1.18916975753693,0.234372872587716,0.541295106350158
"AT1G01390",30.4788002415937,1.19404566306106,0.365004859333924,3.27131442918322,0.00107048817637909,0.0138229028417777
"AT1G01420",69.2577497714014,0.136978717364931,0.287297592150414,0.476783381091535,0.633516381012045,0.852510836277834
"AT1G01430",510.642492738114,0.294231978736215,0.215938500527802,1.36257303823564,0.173017110901619,0.465143849619342
"AT1G01440",133.842084316219,0.251695115255596,0.231554476618473,1.08698013068565,0.277045590880265,0.588292377235529
"AT1G01448",50.2322049407242,0.257889941594895,0.328418057615899,0.785248970373334,0.432307608637047,0.726105548969294
"AT1G01470",261.070188488375,-0.695609362957424,0.201265147251099,-3.45618390694132,0.0005478813762893,0.00820313727041736
"AT1G01480",17.7530059178481,-1.31251348827534,0.420924348661591,-3.11816955338584,0.00181978080405661,0.020771337560377
"AT1G01490",335.597731018697,0.176405861531364,0.197742843327982,0.892097324800637,0.372340768682662,0.678721722566158
"AT1G01500",100.944445356049,-0.432778298565785,0.267236295707357,-1.61945927824007,0.105348481395117,0.34594555073197
"AT1G01510",207.725125438671,0.216762800842498,0.21920649963392,0.988852069644365,0.322735524047504,0.634861976081105
"AT1G01520",36.7473886682118,-0.583868302139818,0.340637452957057,-1.71404611287246,0.0865202572837264,0.305547379188958
"AT1G01540",334.414151770877,0.778456760444111,0.195232639145991,3.98732898274247,6.68213385260187e-05,0.00148687529564935
"AT1G01550",829.643762197047,0.0428692124493062,0.185052086141623,0.231660249517521,0.816801907803311,0.93699882605565
"AT1G01560",33.5501014490144,-1.60120500018834,0.399572148810291,-4.00729881938935,6.14171378506865e-05,0.00138326954445438
"AT1G01570",11.7643974020909,-0.207167458359833,0.423512432855371,-0.489164997974405,0.624724887751812,0.847689793741943
"AT1G01580",18.3775226440462,0.968757248080626,0.408681385455568,2.3704462267121,0.0177666281298793,0.107889235057339
"AT1G01600",67.171026076487,2.00599723097073,0.326030647789887,6.15278730563853,7.61328791664974e-10,8.33001815779706e-08
"AT1G01610",458.65421557416,0.36127540215879,0.201580842408365,1.79221099506527,0.0730991740694718,0.274229423355367
"AT1G01620",2398.79221963478,0.409950257501245,0.247142592138591,1.65876004598736,0.0971641543071652,0.330015885552234
"AT1G01630",261.478395134921,0.490760668530405,0.199327831961369,2.4620779933307,0.0138134624675772,0.0900969081086313
