"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",14.2362348018041,0.112219769173525,0.271525492960909,0.413293676220969,0.679391462467914,NA
"AT1G01020",58.8768186252304,-0.0555623859197921,0.242020298460741,-0.229577379555232,0.818420185914487,0.999981595030639
"AT1G01030",32.7587353474239,0.0619267322444301,0.268003324525306,0.231067030060602,0.817262728248006,0.999981595030639
"AT1G01040",213.448381759858,-0.0827600474173231,0.244637324324223,-0.338296895806625,0.735139462755726,0.999981595030639
"AT1G01050",172.5574553854,0.0680548998950428,0.220287191971183,0.308937161920633,0.757369327464664,0.999981595030639
"AT1G01060",989.043834266699,0.699450619709398,0.168345577559996,4.15484998089791,3.25501036733264e-05,0.00393378190715839
"AT1G01070",23.343943411058,0.0744725500557519,0.274230184377241,0.271569485411952,0.785953065026541,0.999981595030639
"AT1G01080",208.207058006111,0.0903483921812386,0.212522792803348,0.425123305549819,0.670746789355014,0.999981595030639
"AT1G01090",531.782828212637,-0.183680253187633,0.160474905388465,-1.14460421548774,0.252373145271507,0.999981595030639
"AT1G01100",513.089288433494,0.143630408411018,0.234673120149727,0.612044567862646,0.540508270959487,0.999981595030639
"AT1G01110",22.0467699130043,0.0149005970289764,0.274657887717249,0.0542514804610893,0.956734805566518,0.999981595030639
"AT1G01120",884.574367396233,0.2003837987966,0.167520707103448,1.1961733105201,0.231628933788755,0.999981595030639
"AT1G01130",15.124059843741,0.0168375831647018,0.270467105315307,0.0622537189691619,0.950360783859063,NA
"AT1G01140",367.251003377927,-0.369220158491126,0.207454530184727,-1.77976426044954,0.0751145488784826,0.999981595030639
"AT1G01160",93.7360055299764,0.0935685866482065,0.246165576033911,0.380104270287234,0.703868016041988,0.999981595030639
"AT1G01170",196.681833073093,-0.0325030472900979,0.197144942431556,-0.164868785824329,0.869047261450919,0.999981595030639
"AT1G01180",76.1496581241943,-0.000538239053134309,0.23608790721936,-0.00227982474610275,0.998180964609518,0.999981595030639
"AT1G01190",24.415839520694,0.50660886395563,0.273419600553948,1.85286227808555,0.0639021010482082,0.992685961481251
"AT1G01200",11.4899561209271,0.191451216603039,0.266107806957879,0.719449830471689,0.471863803407138,NA
"AT1G01210",40.3417187422791,0.0133454881594467,0.272054946917156,0.049054385191939,0.960875954956105,0.999981595030639
"AT1G01220",110.875915576495,0.0342382437647395,0.233880776389992,0.146391868084309,0.883612046483494,0.999981595030639
"AT1G01225",19.889341080012,0.236402444309022,0.274491505815678,0.861237740696308,0.389107117839617,0.999981595030639
"AT1G01230",115.566182077347,-0.0426316101017388,0.21679424442424,-0.196645488513588,0.844104970874041,0.999981595030639
"AT1G01240",128.934838022353,-0.099565896284895,0.232794179279184,-0.42769925173038,0.668870094737492,0.999981595030639
"AT1G01250",14.518714205602,-0.112929711841059,0.265726544868216,-0.424984684526211,0.670847839508028,NA
"AT1G01260",108.696167805366,-0.342423702694919,0.222952183934309,-1.5358616213233,0.124572322607337,0.999981595030639
"AT1G01290",39.0433561096147,-0.122723067647302,0.266360349331126,-0.460740751975585,0.644984613741671,0.999981595030639
"AT1G01300",154.677392760567,0.294829683541738,0.206425875210181,1.42825933639155,0.153217227406839,0.999981595030639
"AT1G01320",2174.95997002544,0.034510613698403,0.155857988797883,0.221423450697522,0.824762734538675,0.999981595030639
"AT1G01340",19.4822402086032,0.181930537483506,0.27448060070916,0.662817470573374,0.50744746310042,0.999981595030639
"AT1G01350",72.7927224561512,-0.00163603456896424,0.239398752231312,-0.00683393106152647,0.994547354358584,0.999981595030639
"AT1G01360",56.3179859298414,0.00833484797970753,0.251135413921542,0.0331886604503794,0.973524140792044,0.999981595030639
"AT1G01370",17.1053369592469,-0.219645015126582,0.274120045394986,-0.801273087526634,0.422973567448115,0.999981595030639
"AT1G01390",31.1978795856375,0.131421735111135,0.274583525339992,0.478622069362708,0.632207515143441,0.999981595030639
"AT1G01420",42.4938681696879,0.415454025876907,0.257970669076367,1.61047000949522,0.107295287559736,0.999981595030639
"AT1G01430",496.640747352114,0.191357868686952,0.227291479245251,0.841905157740094,0.399841043084607,0.999981595030639
"AT1G01440",126.527794689651,-0.019743858971582,0.2167841435841,-0.0910761213673475,0.927432106161109,0.999981595030639
