"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",20.7073393848301,-0.374731399951007,0.32148750985123,-1.16561728984251,0.243769214167576,0.735499413104328
"AT1G01020",65.0669523258203,0.0375898508109078,0.249867657621863,0.150439041085478,0.880418241408913,0.984107469917947
"AT1G01030",31.5566925696551,-0.409175931875514,0.306026467725133,-1.33706059778799,0.181202857415919,0.6610208046907
"AT1G01040",187.160899618526,0.33249631123122,0.203968355777268,1.63013674334024,0.103072599542187,0.51422269102415
"AT1G01050",293.386810506538,-0.535411074183756,0.167972057719821,-3.1875008346735,0.00143508043772594,0.0322948514826674
"AT1G01060",1386.83599537553,0.217742176026152,0.147126632991865,1.47996437897272,0.13888275312245,0.592615560231011
"AT1G01070",21.7566758561418,0.107055061920365,0.329013112498894,0.325382356670434,0.744891706986012,0.963901715273212
"AT1G01080",294.799222669856,-0.0196119222188806,0.190852887930631,-0.102759368388541,0.918153953819249,0.986128964822677
"AT1G01090",552.109294831983,0.27190695790541,0.175773980684185,1.54691244316728,0.121884360147142,0.558802233476039
"AT1G01100",607.191696120565,-0.0415258438033527,0.222411611885302,-0.186707175274498,0.851890229976884,0.980036345857802
"AT1G01110",12.5561694219811,0.46615665608114,0.338076144971103,1.37885107546107,0.167940675267217,0.641672896262777
"AT1G01120",638.263567641646,0.690575489575867,0.192461830372938,3.58811660596661,0.000333075329316661,0.0104731798702989
"AT1G01130",11.2115905276867,0.0135860780489427,0.33810976237648,0.0401824483074666,0.967947670549816,0.996279000563019
"AT1G01140",395.711988156155,-0.126476565917676,0.172094638499222,-0.734924498640018,0.462385477250056,0.881857861492745
"AT1G01160",81.8214256917177,0.0614829368096934,0.240935976356393,0.255183712036213,0.798581210633084,0.971955716551288
"AT1G01170",238.827067679291,-0.0897614733714499,0.20372791781998,-0.440594859712676,0.659506324820984,0.945132619562323
"AT1G01180",65.1202108350455,0.452907868618843,0.246350419549344,1.83847005191775,0.0659931709121405,0.409445549327036
"AT1G01190",19.8727033124985,0.270165356373566,0.327091378389277,0.825962939481815,0.408825115250701,0.854046515357144
"AT1G01200",11.0879000018769,0.134386729371357,0.338725800716516,0.396741934293418,0.691557773512861,0.952985889131646
"AT1G01210",63.745140143225,-0.109065652889999,0.258524068537635,-0.421878138878669,0.673113967448061,0.94842281238738
"AT1G01220",153.632245404182,-0.0782837466147296,0.197830523382293,-0.39571116365826,0.692318118957113,0.953015060814664
"AT1G01225",16.0995308300898,0.0436768823680934,0.328782898798036,0.132844142830321,0.894316642788957,0.984726506713401
"AT1G01230",125.674518706757,0.0512145361265091,0.21165569820118,0.241970977213329,0.808802651895121,0.973627985603809
"AT1G01240",104.950210566799,1.13474189228861,0.229146954006643,4.9520269523448,7.344442885034e-07,6.91625931011723e-05
"AT1G01250",40.8462887354575,-0.247971054860413,0.297415985453698,-0.833751603775238,0.404420972220414,0.851396178363805
"AT1G01260",115.371754152862,0.139868647583426,0.215567941024571,0.648837888039592,0.51644316511227,0.905206097388567
"AT1G01290",40.7383432826914,0.000160269949440807,0.275027142680804,0.000582742299100331,0.999535038942937,0.999697248459156
"AT1G01300",170.46989044622,-0.062818716196473,0.20482047067193,-0.306701356511833,0.759070697169983,0.966747585761165
"AT1G01320",3219.43543376379,-0.28743341012988,0.162020274661096,-1.77405828209535,0.0760535103803928,0.443441612558525
"AT1G01340",23.684154131675,-0.623634997011334,0.313250510981491,-1.99085069345085,0.0464973042642492,0.33472544787602
"AT1G01350",76.8811432047732,-0.240503729883931,0.236723176496268,-1.01597035593903,0.309643503235412,0.794807084331931
"AT1G01360",73.0643035227933,-0.165567793871162,0.253904918327848,-0.652085808189729,0.51434581871878,0.904746225473015
"AT1G01370",12.824275224684,-0.0357360613157033,0.334253576210628,-0.106913026094848,0.91485797909523,0.986055185797252
"AT1G01390",38.7219702145033,-0.434201145250187,0.286039746306716,-1.51797486487979,0.129020735198164,0.573153381326009
"AT1G01420",70.9542305296962,-0.295031810089395,0.243488063978139,-1.21168900548605,0.225631449302699,0.717009499158895
"AT1G01430",445.72392801018,0.300845835482598,0.180895218826776,1.66309445564001,0.0962935295582765,0.495511012525181
"AT1G01440",117.348972771568,-0.00347030143984143,0.220628824210305,-0.0157291389838234,0.987450480322905,0.998936058842085
"AT1G01448",33.5735757767355,-0.0994408660091377,0.293328254524333,-0.339008821943842,0.734603084337879,0.963075437478621
"AT1G01470",155.710284081996,0.294913056359851,0.202106058934563,1.45919948127501,0.144510211552592,0.605038338178414
