"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",21.7573758515246,-0.965643269285485,0.411144748629596,-2.34866983587681,0.0188406047578225,0.140424482873882
"AT1G01020",51.6174903722144,0.160434118027951,0.302934457019899,0.529600097678597,0.59638922662054,0.859068704296265
"AT1G01030",23.7373808938619,0.551092625025029,0.439582108921702,1.25367391856976,0.209960551570442,0.554270883947801
"AT1G01040",216.711284712859,0.537471848738293,0.249654706996015,2.15286086613569,0.0313296148693455,0.194577364100921
"AT1G01050",198.475135633158,-0.227364902279095,0.237196856370596,-0.958549391244294,0.337785798227966,0.686472813603287
"AT1G01060",1112.86362747787,0.773545200169887,0.180583028989063,4.28359854467131,1.83894593876187e-05,0.000603180942853781
"AT1G01070",34.0508483034954,-0.33097322200411,0.341295367147188,-0.969755976386793,0.332168141387191,0.680892636223009
"AT1G01080",184.930610717798,0.385217289450748,0.24102037039149,1.59827689595298,0.109981366906288,0.401500192967578
"AT1G01090",473.847797630589,0.646154048591835,0.218366614773224,2.95903313454244,0.00308605917454133,0.0386784656459677
"AT1G01100",442.009691471647,0.193632150394702,0.259110323684626,0.747296161886545,0.454884808769319,0.775955637988303
"AT1G01110",21.4708408174284,0.209019417972199,0.389585317490599,0.536517698661072,0.591600807323855,0.857097200812235
"AT1G01120",769.002797615928,0.171187456363054,0.272107321584371,0.62911742089959,0.529272186179151,0.821428479884519
"AT1G01130",13.098629459997,0.00766541670584007,0.473061742327413,0.0162038398373266,0.987071772119338,0.996833588802617
"AT1G01140",558.539046366234,-0.829331376572295,0.295536714269078,-2.80618730780505,0.00501315419974641,0.0552455706414737
"AT1G01160",76.3803287636322,0.26904550461171,0.266796851717643,1.00842833369131,0.313248876468298,0.662688393352633
"AT1G01170",174.711080896101,-0.0139455455368622,0.226485194391883,-0.0615737623569887,0.950902271890199,0.988878357174274
"AT1G01180",73.1901506157873,0.0637356142194825,0.32126235433354,0.19839116958382,0.842739025790692,0.956770049193742
"AT1G01190",14.5654185693712,0.942897241701426,0.464161489044153,2.03139912284221,0.0422145233423757,0.2335963404344
"AT1G01200",9.64216330916458,0.489422088200512,0.479313851803677,1.02108897199361,0.307212287461617,0.65764604914643
"AT1G01210",47.8188036364167,0.0253254821479422,0.319886358135423,0.0791702475077749,0.936897209339425,0.985602848978338
"AT1G01220",126.355479218886,0.265479350711937,0.282536075320646,0.939629923048405,0.347407421924364,0.694545833676884
"AT1G01225",16.9981488078966,-0.149654539571213,0.4316987507304,-0.346664286885262,0.728843543216234,0.917222540658382
"AT1G01230",136.263370574522,0.0382936033139857,0.251249688544911,0.152412540432426,0.878861566793978,0.968465216496251
"AT1G01240",124.033051703665,0.353202564584702,0.239780579758532,1.47302406617079,0.140744546615761,0.45700254958438
"AT1G01250",43.5328963871184,-0.600826309847318,0.330725265382326,-1.81669310674753,0.0692641178264921,0.309700742572536
"AT1G01260",122.974775542808,-0.155197636779054,0.303841488940577,-0.51078487444289,0.60950170160336,0.865524023970891
"AT1G01290",38.5392477993227,0.011077406383324,0.359045141239154,0.0308524057590449,0.975387246537297,0.993953516452023
"AT1G01300",175.716155342114,0.103224318710008,0.23335725408381,0.442344589266273,0.658239869362292,0.887325215110368
"AT1G01320",2321.01557601179,0.427192534360863,0.198692786650279,2.1500153154164,0.0315540033514154,0.195634820778775
"AT1G01340",44.9077229688681,-0.776902701788085,0.315693346085445,-2.46094100943708,0.0138573148362558,0.114305454603218
"AT1G01350",73.6553460629,0.105965781066133,0.284893981788563,0.371948120493387,0.709931476297115,0.909319872695906
"AT1G01360",81.1424012980187,-0.337287753272219,0.268023946937727,-1.25842394728477,0.208238475823584,0.551831960932498
"AT1G01370",17.2266184629095,0.0565770087255806,0.453475200226629,0.124763181530778,0.900711036463185,0.97460508233476
"AT1G01390",37.3414225928042,0.114139991704443,0.366155407706869,0.311725538670235,0.75524911734368,0.926151261891188
"AT1G01420",69.1517940809952,-0.239636504281045,0.275744221445312,-0.869053585329883,0.384817822192752,0.726545107037591
"AT1G01430",370.68327026785,0.897983622324376,0.254660629229053,3.52619729654673,0.000421572782679631,0.00828029668434231
"AT1G01440",134.690436408647,-0.163445399507491,0.24552497062619,-0.66569766443974,0.505604366664523,0.806994698522173
"AT1G01448",39.8525155613309,0.515956043284902,0.358305937614626,1.43998742169837,0.149870957753105,0.47223458587188
"AT1G01470",394.461073688139,-1.24642330735038,0.490331038816527,-2.54200368461024,NA,NA
"AT1G01480",7.47071243457801,-0.354666947677537,0.513673918114616,-0.690451539722522,0.489910274822467,0.797956620671024
"AT1G01490",320.02598277051,-0.0947746755397498,0.217065214271122,-0.436618441411681,0.662388086231467,0.889363798247396
"AT1G01500",76.2932575301348,-0.124072115758846,0.285839340500683,-0.434062419614874,0.664243114334243,0.889833585700941
"AT1G01510",183.904196895044,0.14891107505185,0.211590091553954,0.703771494960945,0.481575088100208,0.791936996811143
"AT1G01520",26.5439781829321,-0.198372632875942,0.475895208270614,-0.416840996564812,0.676794713534882,0.894996817583493
"AT1G01540",374.737372913591,-0.0387756318015064,0.230960276217063,-0.167888748821308,0.866670801631626,0.964923882551513
"AT1G01550",744.880247269129,-0.0587314193306246,0.20795419503808,-0.282424787438742,0.777617810656104,0.93362375806619
"AT1G01560",84.1539573776869,-3.06216832754183,0.431712341794009,-7.09307571522461,1.31163646564171e-12,2.41889855546353e-10
"AT1G01570",9.23343026347973,-0.0446587034798888,0.486917382648411,-0.0917172092665575,0.926922724005901,0.983094511766226
"AT1G01580",20.3817418437112,0.305066678567709,0.4267696535583,0.714827486031723,0.474715648877808,0.787402342342935
"AT1G01600",124.92614195736,-0.584870515680073,0.267832972809008,-2.183713638937,0.0289832969293854,0.186013893964767
"AT1G01610",394.20465942263,0.383815350234467,0.217135506890911,1.76763052588767,0.07712269133593,0.330999382691585
"AT1G01620",1745.18723985396,1.05544069396433,0.253854406968069,4.15766149806133,3.21521968232195e-05,0.000968477755310078
"AT1G01630",244.33796708181,0.251293725310178,0.229469992346321,1.0951049535528,0.273470658777856,0.623732248201587
"AT1G01640",3.80138355600388,-0.197751945572025,0.516909175149201,-0.382566135559396,0.702041483348918,NA
"AT1G01650",233.15173979842,-0.505783772129417,0.282376345933691,-1.79116905297792,0.0732661707305455,0.320770228588457
"AT1G01670",6.73829001820865,0.0105274197050667,0.507577112025505,0.0207405327302025,0.983452635522713,NA
"AT1G01680",56.9424153886249,-1.10955557056657,0.499521123405525,-2.22123853942769,NA,NA
"AT1G01690",24.1047428695929,-0.285026469316323,0.406317961673325,-0.701486264950011,0.482999603301521,0.793255743951985
"AT1G01710",165.530242491531,-0.0282149246121836,0.230207890828729,-0.122562804040349,0.902453310387367,0.97460508233476
"AT1G01715",13.147864802631,0.113847621983914,0.458913908495442,0.248080565605792,0.804072072087823,0.943326053823743
"AT1G01720",180.36169618389,-0.592342280041584,0.308117740468318,-1.92245431613663,0.054548616669641,0.270914303124601
"AT1G01725",31.4525947635612,-0.156981972942035,0.355135637900618,-0.442033849010572,0.658464711908792,0.887562107572165
"AT1G01730",82.2193201430556,-0.334310759628992,0.282732921431871,-1.18242600803582,0.2370367085726,0.585081184653456
"AT1G01740",37.4706529077155,-0.328081802644997,0.340072672545883,-0.964740272097965,0.334674918629393,0.682798855978086
"AT1G04053",8.7378275983959,0.578384285758552,0.506597297334153,1.14170424675015,0.25357697499786,0.601587906161239
"AT1G01760",30.25045903826,0.216970591483998,0.365136891853669,0.594217117811668,0.552366905108485,0.836081236679974
"AT1G01770",77.5330077454175,0.401450579255367,0.299770861756875,1.33919146411554,0.180508350540379,0.517173021451532
"AT1G01780",22.5474358079155,0.244263440526951,0.40280470728541,0.606406618664158,0.5442447744735,0.831386679829226
