StepN	DirN	GainBefore	GainNow
0	0	0.	2.798202
1	1	2.798202	5.811537
2	1	5.811537	8.241389
3	1	8.241389	9.238084
4	1	9.238084	10.559282
0	0	0.	8.631827
1	1	8.631827	11.061680
2	1	11.061680	12.011336
3	1	12.011336	12.993435
4	1	12.993435	12.491038
0	0	0.	11.061680
1	1	11.061680	12.009066
2	1	12.009066	12.847607
3	1	12.847607	12.874114
4	1	12.874114	12.371717
0	0	0.	12.993435
1	1	12.993435	12.440150
2	1	12.440150	12.297716
3	1	12.297716	11.795319
4	1	11.795319	11.717118
0	0	0.	12.847607
1	1	12.847607	12.345210
2	1	12.345210	12.267008
3	1	12.267008	12.412837
4	1	12.412837	11.859552
0	0	0.	12.345210
1	1	12.345210	12.180669
2	1	12.180669	12.326497
3	1	12.326497	12.003941
4	1	12.003941	11.450656
0	0	0.	12.371717
1	1	12.371717	12.293516
2	1	12.293516	12.207177
3	1	12.207177	11.773212
4	1	11.773212	11.008126
