ProteinGroup	Bin	TP0HS	TP24HS	TP1R	TP2R	TP4R	TP8R	TP0HSsdev	TP24HSsdev	TP1Rsdev	TP2Rsdev	TP4Rsdev	TP8Rsdev	Anova	HCluster
Cre11.g476550.t1.p1	11.8.07	-0.733170984	0.814736038	0.85588934	0.788800434	0.618111126	0.392770361	0.083912703	0.119430885	0.229014954	0.13036094	0.335218225	0.716893595	6.07e-10	1360.1359.1342.1337.1317.1194.1107.877.15
Cre-1.g2716987.t1.p1;Cre-1.g2716969.t1.p1	1.1.1.2	0.02157201	0.433161094	0.413208122	0.402396967	0.380852022	0.220305837	0.13498595	0.107016167	0.128128948	0.145725518	0.069998517	0.070824222	1.31e-09	1360.1359.1357.1354.1346.1307.1266.1248.1186.949.899.792.699.16
Cre08.g372950.t1.p1	16.1.1.07	-0.137677495	-0.503863854	-0.438886265	-0.21425924	-0.120886532	-0.304997033	0.089875228	0.155384806	0.086506906	0.088378174	0.107284605	0.244894891	2.79e-07	1360.1358.1356.1351.1315.1269.1222.1056.965.17
Cre17.g714000.t1.p1;Cre17.g708200.t1.p1;Cre17.g709100.t1.p1;Cre12.g505450.t1.p1;Cre06.g265200.t1.p1;Cre06.g276800.t1.p1;Cre06.g271300.t1.p1;Cre06.g268400.t1.p1;Cre17.g714600.t1.p1;Cre17.g708650.t1.p1;Cre12.g506450.t1.p1;Cre06.g276650.t1.p1;Cre06.g275700.t1.p1;Cre06.g268000.t1.p1;Cre06.g264600.t1.p1;Cre06.g266600.t1.p1;Cre06.g274150.t1.p1;Cre12.g504850.t1.p1;Cre17.g713500.t1.p1;Cre06.g273950.t1.p1;Cre06.g265050.t1.p1;Cre17.g710500.t1.p1;Cre12.g506350.t1.p1;Cre06.g265450.t1.p1;Cre17.g711800.t1.p1;Cre16.g650250.t1.p1;Cre06.g274300.t1.p1;Cre06.g274900.t1.p1;Cre12.g504600.t1.p1;Cre16.g649950.t1.p1	28.1.3	0.545783588	-0.252423799	-0.314493505	-0.28558107	-0.339066959	0.071455144	0.23016598	0.256817723	0.249771177	0.172324903	0.203105953	0.254791551	0.0	1360.1358.1356.1336.1330.1294.1216.1108.1062.839.18
Cre17.g719000.t1.p1	29.2.3	-0.100030531	0.206643766	0.155083872	0.179827484	0.204436046	0.166526383	0.16044154	0.15887376	0.235251214	0.19118499	0.111547524	0.133186197	0.000566721	1360.1359.1357.1354.1353.1328.1263.1140.1009.725.19
Cre17.g719000.t1.p1	27.1.2	-0.100030531	0.206643766	0.155083872	0.179827484	0.204436046	0.166526383	0.16044154	0.15887376	0.235251214	0.19118499	0.111547524	0.133186197	0.000566721	1360.1359.1357.1354.1353.1328.1263.1140.1009.725.19
Cre07.g343700.t1.p1	8.1.1.02	-0.278496951	-0.242442436	-0.301260971	-0.421104861	-0.579259869	-0.585149362	0.133333647	0.478807496	0.285062459	0.224240104	0.200458718	0.284000318	0.007728379	1360.1359.1357.1354.1346.1335.1291.1207.1158.1103.890.20
Cre06.g307200.t1.p1	35.2	-0.176317846	0.177594057	0.238665107	0.174423777	-0.033549438	-0.485459115	0.082665815	0.064273278	0.127137381	0.152435901	0.219643446	0.27057432	4.5e-12	1360.1359.1357.1354.1346.1335.1329.1304.1284.1279.1156.1102.966.826.21
Cre02.g144850.t1.p1	35.2	0.004405311	0.714452589	0.569796096	0.439140495	0.600773883	0.267684964	0.00623005	0.19019787	0.290352727	0.269558984	0.165987043	0.242590466	0.004244747	1360.1359.1357.1350.1306.1296.1234.1130.933.22
Cre05.g248400.t1.p1	8.03	-1.808439064	-2.419309073	-2.590864982	-2.926491698	-2.467264491	-3.021083664	1.122921281	0.805953796	0.697788551	0.467544558	0.480305803	0.808527446	0.00024635	1360.1358.1355.1352.1345.1332.1319.1289.1184.948.23
Cre04.g214500.t1.p1	8.1.04	-0.11347837	-0.26276851	-0.26002698	-0.225181937	-0.270870692	-0.285070103	0.095108849	0.135843221	0.104052271	0.095206438	0.069544557	0.122486536	0.010342314	1360.1358.1356.1336.1262.1189.1143.1002.941.812.24
Cre03.g156950.t1.p1	9.05	-0.258533042	-0.749822112	-0.689641286	-0.748601012	-0.494478737	-0.536765104	0.224208174	0.229888914	0.224859642	0.351159184	0.07234231	0.292667766	0.001210061	1360.1358.1356.1336.1330.1325.1285.1237.1157.925.861.746.25
Cre09.g393200.t1.p1	29.6.2.3	-0.564062859	0.476405101	0.565861684	0.524121919	0.497864772	0.249553809	0.14600982	0.168165848	0.179213839	0.240635613	0.216138744	0.247300773	0.0	1360.1359.1357.1350.1347.1339.1310.1271.1251.1203.1190.1020.956.734.26
Cre02.g139800.t1.p1	35.2	3.995056271	3.202404461	3.150344299	3.259058019	2.631522086	-0.153130194	0.210473755	0.540214847	0.706398586	0.110963202	1.939689335	1.971026547	0.010142918	1360.1358.1355.1352.1334.1311.27
Cre06.g272950.t1.p1	29.2.1.2.1.018	-0.012439381	-0.127042379	-0.148025372	-0.229388052	-0.026999121	0.111894062	0.12125521	0.396512231	0.086169863	0.184464146	0.145463757	0.200509604	0.000105111	1360.1358.1356.1351.1315.1282.1227.1095.1008.927.891.801.28
Cre07.g357850.t1.p1	29.2.1.2.2.022	-0.033596765	-0.301610713	-0.253335392	-0.271509815	-0.09525526	0.162515898	0.131105858	0.129717424	0.102259654	0.14678615	0.132598532	0.131558509	0.0	1360.1358.1356.1351.1315.1269.1151.923.866.703.29
Cre10.g429100.t1.p1	29.1.015	-0.303332766	0.030978216	0.029478823	0.11026308	0.092080577	0.154616388	0.152464197	0.136436067	0.293678711	0.159740637	0.305498665	0.179856846	0.000214445	1360.1359.1357.1354.1353.1328.1263.1213.1098.1079.988.901.30
Cre14.g617400.t1.p1	29.6.2.1	-2.349797511	-1.606655648	-1.601507804	-1.666481333	-1.538192184	-1.860095864	0.56873495	0.64200449	0.441618783	0.400570981	0.439460359	0.532485869	0.001682471	1360.1359.1357.1350.1306.1296.1234.1166.1004.748.31
Cre14.g617400.t1.p1	20.2.1	-2.349797511	-1.606655648	-1.601507804	-1.666481333	-1.538192184	-1.860095864	0.56873495	0.64200449	0.441618783	0.400570981	0.439460359	0.532485869	0.001682471	1360.1359.1357.1350.1306.1296.1234.1166.1004.748.31
Cre16.g693150.t1.p1	29.5.11.03	-0.556101176	-0.997599074	-0.601914343	0.055533707	-0.273275319	-0.054117315	0.316212051	0.674271224	0.349986611	0.355383655	0.436929507	0.170148126	1.65e-05	1360.1358.1356.1351.1338.1312.1265.1226.32
Cre10.g441450.t1.p1	35.2	-0.433513349	0.329063706	0.240797304	0.230986759	0.205834581	-2.096796334	0.674712936	1.24907459	0.552322384	nan	0.261793596	0.305167064	0.013268822	1360.1358.1355.1352.1334.1311.1188.33
