Path	nRoot	childrenMax	combi_GG	combi_Time	combi_DxC	walk_GG	walk_Time	walk_DxC	treeComparison	TimeRatio
18	19	10	0.000000	0.000000	0.000000	25.576705	0.124106	0.591261	0	0.000000
15	16	10	0.000000	0.000000	0.000000	26.353003	0.119802	0.575582	0	0.000000
13	168	12	0.000000	0.000000	0.000000	51.308311	0.678899	0.526637	0	0.000000
10	79	12	0.000000	0.000000	0.000000	42.396375	0.797088	0.497240	0	0.000000
9	55	13	0.000000	0.000000	0.000000	40.742295	1.165880	0.639790	0	0.000000
11	86	13	0.000000	0.000000	0.000000	53.519385	0.844867	0.630443	0	0.000000
4	70	15	0.000000	0.000000	0.000000	63.304682	1.357536	0.505520	0	0.000000
3	31	16	0.000000	0.000000	0.000000	31.374999	1.788307	0.592422	0	0.000000
34	113	16	0.000000	0.000000	0.000000	52.291511	8.157752	0.455793	0	0.000000
19	37	18	0.000000	0.000000	0.000000	46.244791	5.009121	0.429495	0	0.000000
28	43	19	0.000000	0.000000	0.000000	46.098306	4.948744	0.565127	0	0.000000
21	111	19	0.000000	0.000000	0.000000	56.830368	16.816258	0.492601	0	0.000000
26	175	25	0.000000	0.000000	0.000000	69.949923	116.473109	0.315736	0	0.000000
33	35	29	0.000000	0.000000	0.000000	41.504813	237.379053	0.486582	0	0.000000
1	156	29	0.000000	0.000000	0.000000	69.299842	68.327101	0.376417	0	0.000000
