StepN	DirN	GainBefore	GainNow
0	0	0.	0.967191
1	1	0.967191	1.724607
2	1	1.724607	2.395714
3	1	2.395714	3.223363
4	1	3.223363	3.312723
0	0	0.	2.165916
1	1	2.165916	2.883314
2	1	2.883314	3.178892
3	1	3.178892	2.707514
4	1	2.707514	2.841346
0	0	0.	3.178892
1	1	3.178892	2.777913
2	1	2.777913	2.688553
3	1	2.688553	2.217176
4	1	2.217176	2.751986
0	0	0.	3.312723
1	1	3.312723	2.790245
2	1	2.790245	2.708120
3	1	2.708120	2.618760
4	1	2.618760	2.278711
0	0	0.	2.841346
1	1	2.841346	2.547667
2	1	2.547667	2.458307
3	1	2.458307	2.700886
4	1	2.700886	2.403790
