StepN	DirN	GainBefore	GainNow
0	0	0.	1.441326
1	1	1.441326	11.946282
2	1	11.946282	15.270939
3	1	15.270939	16.051604
4	1	16.051604	16.455921
0	0	0.	11.289603
1	1	11.289603	14.614260
2	1	14.614260	15.398474
3	1	15.398474	16.179138
4	1	16.179138	16.535873
0	0	0.	11.346978
1	1	11.346978	14.792741
2	1	14.792741	15.554632
3	1	15.554632	16.088246
4	1	16.088246	16.392913
0	0	0.	12.900701
1	1	12.900701	14.657480
2	1	14.657480	15.649203
3	1	15.649203	16.548387
4	1	16.548387	16.776833
0	0	0.	11.446144
1	1	11.446144	13.745633
2	1	13.745633	15.587823
3	1	15.587823	16.271005
4	1	16.271005	16.677619
0	0	0.	11.100512
1	1	11.100512	14.040311
2	1	14.040311	15.604830
3	1	15.604830	17.188013
4	1	17.188013	17.436133
0	0	0.	13.406205
1	1	13.406205	15.705694
2	1	15.705694	16.388876
3	1	16.388876	16.561248
4	1	16.561248	16.857907
0	0	0.	15.809454
1	1	15.809454	16.771049
2	1	16.771049	17.387238
3	1	17.387238	17.648346
4	1	17.648346	17.450142
