StepN	DirN	GainBefore	GainNow
0	0	0.	2.497802
1	1	2.497802	3.633164
2	1	3.633164	3.442370
3	1	3.442370	3.300657
4	1	3.300657	3.190078
0	0	0.	3.003037
1	1	3.003037	3.384737
2	1	3.384737	3.260532
3	1	3.260532	3.266994
4	1	3.266994	3.205847
0	0	0.	3.384737
1	1	3.384737	3.247633
2	1	3.247633	3.430503
3	1	3.430503	3.231071
4	1	3.231071	2.970116
0	0	0.	2.901341
1	1	2.901341	3.136262
2	1	3.136262	3.194972
3	1	3.194972	3.307639
4	1	3.307639	3.207596
0	0	0.	3.136262
1	1	3.136262	3.120492
2	1	3.120492	2.998502
3	1	2.998502	3.043932
4	1	3.043932	2.743929
