StepN	DirN	GainBefore	GainNow
0	0	0.	1.667819
1	1	1.667819	4.248482
2	1	4.248482	4.964088
3	1	4.964088	5.542927
4	1	5.542927	5.950451
0	0	0.	2.150293
1	1	2.150293	4.249554
2	1	4.249554	5.073939
3	1	5.073939	5.888318
4	1	5.888318	6.369215
0	0	0.	2.193443
1	1	2.193443	4.730452
2	1	4.730452	5.554836
3	1	5.554836	6.431349
4	1	6.431349	6.501489
0	0	0.	3.894340
1	1	3.894340	5.678573
2	1	5.678573	5.852509
3	1	5.852509	5.957429
4	1	5.957429	5.987643
0	0	0.	3.894340
1	1	3.894340	5.363072
2	1	5.363072	5.733826
3	1	5.733826	5.842273
4	1	5.842273	5.912413
0	0	0.	3.949033
1	1	3.949033	6.486042
2	1	6.486042	6.485482
3	1	6.485482	6.423349
4	1	6.423349	6.439355
0	0	0.	3.886900
1	1	3.886900	6.423909
2	1	6.423909	6.227913
3	1	6.227913	6.290046
4	1	6.290046	5.977879
