StepN	DirN	GainBefore	GainNow
0	0	0.	8.979525
1	1	8.979525	9.914258
2	1	9.914258	9.582382
3	1	9.582382	8.900049
4	1	8.900049	8.539279
0	0	0.	9.914258
1	1	9.914258	9.372170
2	1	9.372170	8.847571
3	1	8.847571	8.166050
4	1	8.166050	7.382774
0	0	0.	8.826726
1	1	8.826726	8.230874
2	1	8.230874	8.416502
3	1	8.416502	8.530660
4	1	8.530660	8.022975
0	0	0.	7.247790
1	1	7.247790	7.956260
2	1	7.956260	8.690649
3	1	8.690649	8.369520
4	1	8.369520	8.086843
0	0	0.	6.559262
1	1	6.559262	7.907374
2	1	7.907374	8.090321
3	1	8.090321	8.670281
4	1	8.670281	8.292709
0	0	0.	6.225436
1	1	6.225436	7.573548
2	1	7.573548	8.566223
3	1	8.566223	8.188651
4	1	8.188651	8.117533
