StepN	DirN	GainBefore	GainNow
0	0	0.	1.745008
1	1	1.745008	10.684467
2	1	10.684467	12.130313
3	1	12.130313	12.486630
4	1	12.486630	12.950286
0	0	0.	10.684467
1	1	10.684467	11.040784
2	1	11.040784	11.504441
3	1	11.504441	12.015496
4	1	12.015496	11.035250
0	0	0.	10.781975
1	1	10.781975	12.227820
2	1	12.227820	11.968783
3	1	11.968783	11.163094
4	1	11.163094	10.894106
0	0	0.	12.227820
1	1	12.227820	11.247575
2	1	11.247575	11.970041
3	1	11.970041	11.506384
4	1	11.506384	11.004015
0	0	0.	12.950286
1	1	12.950286	11.467672
2	1	11.467672	11.126853
3	1	11.126853	11.171661
4	1	11.171661	10.708004
0	0	0.	12.950286
1	1	12.950286	11.217467
2	1	11.217467	11.284604
3	1	11.284604	11.044734
4	1	11.044734	10.999926
