StepN	DirN	GainBefore	GainNow
0	0	0.	2.675298
1	1	2.675298	5.030460
2	1	5.030460	4.814605
3	1	4.814605	5.025216
4	1	5.025216	4.632280
0	0	0.	5.030460
1	1	5.030460	4.718308
2	1	4.718308	4.519818
3	1	4.519818	4.468300
4	1	4.468300	4.752998
0	0	0.	4.752998
1	1	4.752998	4.655506
2	1	4.655506	4.414838
3	1	4.414838	4.380791
4	1	4.380791	4.465867
0	0	0.	5.025216
1	1	5.025216	4.532974
2	1	4.532974	4.322363
3	1	4.322363	4.009711
4	1	4.009711	3.722772
0	0	0.	4.273582
1	1	4.273582	4.476773
2	1	4.476773	4.282434
3	1	4.282434	4.052115
4	1	4.052115	4.077880
0	0	0.	4.167457
1	1	4.167457	4.274666
2	1	4.274666	4.413693
3	1	4.413693	4.593944
4	1	4.593944	4.177559
