StepN	DirN	GainBefore	GainNow
0	0	0.	4.881279
1	1	4.881279	30.611830
2	1	30.611830	31.647492
3	1	31.647492	31.923179
4	1	31.923179	31.910101
0	0	0.	6.168988
1	1	6.168988	30.255902
2	1	30.255902	31.168377
3	1	31.168377	31.361375
4	1	31.361375	31.310334
0	0	0.	7.432417
1	1	7.432417	15.755090
2	1	15.755090	29.021837
3	1	29.021837	30.519630
4	1	30.519630	30.776342
0	0	0.	11.408761
1	1	11.408761	30.711745
2	1	30.711745	31.273549
3	1	31.273549	31.455361
4	1	31.455361	31.179674
0	0	0.	11.408761
1	1	11.408761	30.319722
2	1	30.319722	30.881527
3	1	30.881527	30.605840
4	1	30.605840	30.997862
0	0	0.	11.357720
1	1	11.357720	30.660704
2	1	30.660704	30.842516
3	1	30.842516	31.117336
4	1	31.117336	30.204861
